Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KMP 102,Kompozisyon II,Eray Altınbüken,Pazartesi,1030/1229,TMB / ---,2,10,"BST, KMP",22258,2023 - 2024 Bahar Dönemi
KMP 114,Klasik Armoni II,Nail Yavuzoğlu,Çarşamba,1030/1229,TMB / ---,5,10,"BST, KMP",22260,2023 - 2024 Bahar Dönemi
KMP 116,Müzik Formları II,Şirin Karadeniz,Çarşamba,1330/1529,TMB / ---,2,10,"BST, KMP",21575,2023 - 2024 Bahar Dönemi
KMP 196,Form Bilgisi II,Recep Gül,Pazartesi,0830/1029,TMB / ---,11,25,"CAB, CEB, MTR, MUT, SES",22263,2023 - 2024 Bahar Dönemi
KMP 196,Form Bilgisi II,Recep Gül,Perşembe,1530/1729,TMB / ---,9,25,"CAB, CEB, MTR, MUT, SES",22262,2023 - 2024 Bahar Dönemi
KMP 197,Konturpuan-Füg I,Ayhan Gunca,Salı,0830/1029,TMB / ---,5,10,"CAB, CEB, MTR",24854,2023 - 2024 Bahar Dönemi
KMP 198,Konturpuan-Füg II,Ayhan Gunca,Pazartesi,1030/1229,TMB / ---,19,25,"CAB, CEB, MTR",22264,2023 - 2024 Bahar Dönemi
KMP 198,Konturpuan-Füg II,Ayhan Gunca,Çarşamba,0830/1029,TMB / ---,10,25,"CAB, CEB, MTR",22265,2023 - 2024 Bahar Dönemi
KMP 202,Kompozisyon IV,Eray Altınbüken,"Salı
Perşembe","1030/1229
0830/1029","TMB
TMB / ---
---",1,10,"BST, KMP",22266,2023 - 2024 Bahar Dönemi
KMP 204,Türk Müziği Literatürü II,Neşe Yeşim Altınel Çoban,Cuma,1030/1229,TMB / ---,1,10,"BST, KMP",22267,2023 - 2024 Bahar Dönemi
KMP 206,Kontrpuan-Füg II,Nail Yavuzoğlu,Pazartesi,1330/1529,TMB / ---,5,10,"BST, KMP",22268,2023 - 2024 Bahar Dönemi
KMP 294,Armoni II,Recep Gül,Pazartesi,1030/1229,TMB / ---,10,25,"CAB, CEB, MTR, MTRM",22270,2023 - 2024 Bahar Dönemi
KMP 294,Armoni II,Recep Gül,Pazartesi,1330/1529,TMB / ---,28,28,"CAB, CEB, MTR, MTRM",22269,2023 - 2024 Bahar Dönemi
KMP 302,Kompozisyon VI,Oğuzhan Balcı,"Pazartesi
Perşembe","1530/1729
1330/1529","TMB
TMB / ---
---",3,10,"BST, KMP",22271,2023 - 2024 Bahar Dönemi
KMP 304,Kompozisyon Çözümleme II,"Oğuzhan Balcı, Tayfun Demirbaş",Perşembe,1530/1729,TMB / ---,3,10,"BST, KMP",22272,2023 - 2024 Bahar Dönemi
KMP 306,Koro Şefliği II,Ayhan Gunca,Salı,1330/1529,TMB / ---,2,10,"BST, KMP",22273,2023 - 2024 Bahar Dönemi
KMP 310,Orkestrasyon I,Ayhan Gunca,Salı,1030/1229,TMB / ---,2,10,"BST, KMP",22274,2023 - 2024 Bahar Dönemi
KMP 312,Türk Makam Müzğnde Kompzsyn,Neşe Yeşim Altınel Çoban,Çarşamba,1030/1229,TMB / ---,1,10,"BST, KMP",22275,2023 - 2024 Bahar Dönemi
KMP 322,Batı Müziği Literatürü II,Mehmet Özkan,Pazartesi,1030/1229,TMB / ---,1,10,"BST, KMP",22276,2023 - 2024 Bahar Dönemi
KMP 324,Türk Müziğinde Polifoni II,Nail Yavuzoğlu,Çarşamba,0830/1029,TMB / ---,2,10,"BST, KMP",22277,2023 - 2024 Bahar Dönemi
KMP 332,Ölçü ve Vuruş Tekniği II,Ayhan Gunca,Çarşamba,1330/1529,TMB / ---,2,10,"BST, KMP",22278,2023 - 2024 Bahar Dönemi
KMP 362,Türk MzğndeFrmBlg.ve Çzmlme II,Eray Cömert,Cuma,1400/1659,TMB / ---,19,20,MUZ,22279,2023 - 2024 Bahar Dönemi
KMP 364,Batı Mzğnde Frm Bilg.ve Çzmlme,Ozan Baysal,Cuma,0930/1229,TMB / ---,9,20,MUZ,22280,2023 - 2024 Bahar Dönemi
KMP 401,Kompozisyon VII,Oğuzhan Balcı,Salı,1530/1729,TMB / ---,1,5,"BST, KMP",25083,2023 - 2024 Bahar Dönemi
KMP 402,Kompozisyon VIII,Oğuzhan Balcı,"Pazartesi
Çarşamba","1330/1529
1330/1529","TMB
TMB / ---
---",4,10,"BST, KMP",22281,2023 - 2024 Bahar Dönemi
KMP 404,Kompozisyon Çözümleme IV,Ayhan Gunca,Çarşamba,1030/1229,TMB / ---,2,10,"BST, KMP",22282,2023 - 2024 Bahar Dönemi
KMP 422,Batı Müziği Literatürü IV,Mehmet Özkan,Perşembe,1030/1229,TMB / ---,2,10,"BST, KMP",22284,2023 - 2024 Bahar Dönemi
KMP 424,Türk Müziğinde Polifoni IV,Nail Yavuzoğlu,Pazartesi,1530/1729,TMB / ---,1,10,"BST, KMP",22285,2023 - 2024 Bahar Dönemi
KMP 434,Partisyon Okuma II,Recep Gül,Perşembe,1330/1529,TMB / ---,3,10,"BST, KMP",22288,2023 - 2024 Bahar Dönemi
KMP 458,Partisyon Çözümleme II,Recep Gül,Salı,1530/1729,TMB / ---,1,10,MTR,22289,2023 - 2024 Bahar Dönemi
KMP 492,Bitirme Çalışması,Oğuzhan Balcı,----,/,TMB / ---,2,100,"BST, KMP",22255,2023 - 2024 Bahar Dönemi
