Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
NAE 102,Ship Geometry,Murat Durmaz,Çarşamba,1230/1529,GDB / R409,60,65,NAE,24733,2023 - 2024 Bahar Dönemi
NAE 201,Practical Training-I,İbrahim Tuğrul Ardıç,----,/,GDB / ---,9,40,"GEMK, NAE",24730,2023 - 2024 Bahar Dönemi
NAE 202,Ship Construction,İbrahim Tuğrul Ardıç,Cuma,0830/1229,GDB / 220,4,30,"GEMK, NAE, NAEM",24877,2023 - 2024 Bahar Dönemi
NAE 232,Hydrodynamic Design of Ships,Şakir Bal,Cuma,1030/1229,GDB / D309,16,40,"GEMK, MEN, NAE",24729,2023 - 2024 Bahar Dönemi
NAE 242,Stability of Ships,Metin Taylan,Cuma,0830/1029,GDB / D303,9,40,"GEMK, MEN, NAE",24728,2023 - 2024 Bahar Dönemi
NAE 301,Practical Training-II,İbrahim Tuğrul Ardıç,----,/,GDB / ---,8,40,"GEMK, NAE",24731,2023 - 2024 Bahar Dönemi
NAE 302,Strength of Ships,Ahmet Ergin,"Pazartesi
Çarşamba","1330/1529
1330/1529","GDB
GDB / D308
D308",21,40,"GEMK, NAE",24712,2023 - 2024 Bahar Dönemi
NAE 312,Ship Design,Cihad Delen,Pazartesi,0930/1229,GDB / D309,17,40,"GEMK, NAE, NAEM",24713,2023 - 2024 Bahar Dönemi
NAE 401,Practical Training-III,Murat Durmaz,----,/,GDB / ---,8,40,"GEMK, NAE",24732,2023 - 2024 Bahar Dönemi
NAE 402,Graduation Design Project,Murat Durmaz,----,/,GDB / ---,19,40,"GEMK, NAE",24719,2023 - 2024 Bahar Dönemi
NAE 412,Ship Design Project II,Murat Durmaz,Çarşamba,1030/1229,GDB / R409,8,40,"GEMK, NAE",24724,2023 - 2024 Bahar Dönemi
NAE 451,Compt. Aided Ship Design&Cons.,--,----,/,--- / ---,0,0,"GEMK, MEN, NAE",24727,2023 - 2024 Bahar Dönemi
