Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SNT 101,Heykel Sanatına Bakış,Meliha Sözeri,Pazartesi,0830/1129,MMB / 102A,25,25,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",20185,2023 - 2024 Bahar Dönemi
SNT 102,Fotoğraf,Ahmet Keskin,Salı,0830/1129,MMB / 3502,22,22,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",20207,2023 - 2024 Bahar Dönemi
SNT 102,Fotoğraf,Altan Bal,Çarşamba,1230/1529,MMB / 3503,20,22,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",24951,2023 - 2024 Bahar Dönemi
SNT 102,Fotoğraf,Hulki Korkut İlhan,Perşembe,0830/1129,MMB / FOTOATOLYE,23,22,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",20218,2023 - 2024 Bahar Dönemi
SNT 102,Fotoğraf,Hulki Korkut İlhan,Cuma,0830/1129,MMB / FOTOATOLYE,24,22,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",20251,2023 - 2024 Bahar Dönemi
SNT 102E,Photography,Eylül Doğruel,Pazartesi,1330/1629,MMB / 119A,24,22,"ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, ICME, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MSS, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE",20259,2023 - 2024 Bahar Dönemi
SNT 103,Desen,Selçuk Fergöğce,Çarşamba,0830/1129,MMB / 102A,20,22,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",20277,2023 - 2024 Bahar Dönemi
SNT 103,Desen,Selçuk Fergöğce,Çarşamba,1230/1529,MMB / 393,21,22,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",20282,2023 - 2024 Bahar Dönemi
SNT 103,Desen,Mehmet Güler,Perşembe,0830/1129,MMB / 102A,22,22,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",20264,2023 - 2024 Bahar Dönemi
SNT 103,Desen,Mehmet Güler,Perşembe,1330/1629,MMB / 102A,22,22,"ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB",20267,2023 - 2024 Bahar Dönemi
