Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DFH 113,Denizde Güvenlik I,"Yusuf Nejat Koçar, Birgül Arslanoğlu",Cuma,0830/1229,DZB / ---,138,137,"DUI, GMI",11490,2023 - 2024 Güz Dönemi
DFH 113,Denizde Güvenlik I,"Yusuf Nejat Koçar, Sinan Çakır",Cuma,1400/1759,DZB / ---,58,108,"DUI, GMI",11491,2023 - 2024 Güz Dönemi
DFH 113E,Maritime Safety I,Hakan Çap,Cuma,0830/1229,DZB / ---,55,55,"MEN, MTM",13751,2023 - 2024 Güz Dönemi
DFH 113E,Maritime Safety I,Hakan Çap,Cuma,1400/1759,DZB / ---,53,55,"MEN, MTM",13752,2023 - 2024 Güz Dönemi
DFH 172E,Maritime English I,Seda Çınar Alabay,Pazartesi,1230/1429,DZB / ---,2,20,"DUI, MMD, MTM",15320,2023 - 2024 Güz Dönemi
DFH 201E,Basic Swimming Skills,Hakan Çap,Salı,1530/1729,DZB / ---,15,60,MEN,13765,2023 - 2024 Güz Dönemi
DFH 202,Gemilerde Acil Durum. Müdahale,Sinan Çakır,Çarşamba,1130/1329,DZB / ---,50,60,GMI,13721,2023 - 2024 Güz Dönemi
DFH 202E,Ship Emergency Response,Orhan Gönel,Pazartesi,1130/1329,DZB / ---,5,60,"MEN, MTM",13767,2023 - 2024 Güz Dönemi
DFH 203,Temel Yüzme Becerisi,Yusuf Nejat Koçar,Çarşamba,1030/1229,DZB / ---,41,51,"DUI, GMI",11493,2023 - 2024 Güz Dönemi
DFH 203,Temel Yüzme Becerisi,Hakan Çap,Perşembe,0830/1029,DZB / ---,48,56,"DUI, GMI",11492,2023 - 2024 Güz Dönemi
DFH 203,Temel Yüzme Becerisi,Hakan Çap,Perşembe,1030/1229,DZB / ---,65,65,"DUI, GMI",11494,2023 - 2024 Güz Dönemi
DFH 203E,Basic Swimming Skills,Hakan Çap,Salı,1030/1229,DZB / ---,56,60,MTM,13749,2023 - 2024 Güz Dönemi
DFH 203E,Basic Swimming Skills,Hakan Çap,Salı,1330/1529,DZB / ---,12,25,MTM,15173,2023 - 2024 Güz Dönemi
DFH 212,Denizcilikte İnsan Kaynak.Yön.,Leyla Tavacıoğlu,Çarşamba,1330/1529,DZB / ---,55,55,DUI,11496,2023 - 2024 Güz Dönemi
DFH 212,Denizcilikte İnsan Kaynak.Yön.,Dilek Mürüvvet Görgüç,Perşembe,1030/1229,DZB / ---,21,42,DUI,11495,2023 - 2024 Güz Dönemi
DFH 222E,Maritime English II,Seda Çınar Alabay,Pazartesi,1430/1629,DZB / ---,26,60,MTM,13760,2023 - 2024 Güz Dönemi
DFH 222E,Maritime English II,Seda Çınar Alabay,Çarşamba,1130/1329,DZB / ---,24,50,"DUI, DUIE",11499,2023 - 2024 Güz Dönemi
DFH 222E,Maritime English II,Seda Çınar Alabay,Perşembe,1030/1229,DZB / ---,24,50,"DUI, DUIE",11498,2023 - 2024 Güz Dönemi
DFH 222E,Maritime English II,Seda Çınar Alabay,Perşembe,1230/1429,DZB / ---,28,50,"DUI, DUIE",11497,2023 - 2024 Güz Dönemi
DFH 225,Türk Denizcilik Tarihi&Kültürü,Muhsin Kadıoğlu,Perşembe,1530/1729,DZB / ---,8,30,DUI,12123,2023 - 2024 Güz Dönemi
DFH 254E,Maritime Conventions,Gizem Kayişoğlu,Perşembe,1530/1729,DZB / ---,16,30,DUI,14922,2023 - 2024 Güz Dönemi
DFH 281,Denizel Çevre Kimyası,Emrah Şık,Salı,1430/1729,DZB / ---,15,30,DUI,14618,2023 - 2024 Güz Dönemi
DFH 351E,Shipping Finance,Levent Kırval,Perşembe,1330/1529,DZB / ---,36,50,"DUI, DUIE",11500,2023 - 2024 Güz Dönemi
DFH 422,Deniz Kazaları&Emniyet Kültürü,Cemil Yurtören,Pazartesi,1230/1429,DZB / ---,45,45,DUI,11501,2023 - 2024 Güz Dönemi
DFH 491E,Maritime Security,Pelin Bolat,Cuma,0830/1029,DZB / ---,8,10,DUI,15342,2023 - 2024 Güz Dönemi
DFH 491E,Maritime Security,Pelin Bolat,Cuma,1430/1629,DZB / ---,28,40,DUI,11502,2023 - 2024 Güz Dönemi
DFH 494E,Intercult.Comm.in Marit.Domain,Seda Çınar Alabay,Salı,1130/1329,DZB / ---,11,30,DUI,15065,2023 - 2024 Güz Dönemi
DFH 494E,Intercult.Comm.in Marit.Domain,Seda Çınar Alabay,Çarşamba,1330/1529,DZB / ---,26,30,DUI,15066,2023 - 2024 Güz Dönemi
DFH 497E,Org.Mngt &Behavior in Maritime,Dilek Mürüvvet Görgüç,Perşembe,1430/1729,DZB / ---,8,30,MMD,15213,2023 - 2024 Güz Dönemi
