Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EEF 110E,Intr. to Prog. Language (C),--,"Pazartesi
Pazartesi","1230/1329
1330/1529",---- / ----,0,0,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10083,2023 - 2024 Güz Dönemi
EEF 110E,Intr. to Prog. Language (C),Emre Dincel,"Pazartesi
Pazartesi","1230/1329
1330/1529",---- / ----,59,80,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10085,2023 - 2024 Güz Dönemi
EEF 110E,Intr. to Prog. Language (C),Deniz Türkpençe,"Pazartesi
Pazartesi","1230/1329
1330/1529",---- / ----,77,80,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10086,2023 - 2024 Güz Dönemi
EEF 205,Lojik Tasarıma Giriş,--,Cuma,0830/1129,EEB / ---,0,0,"EHB, ELK, KOM",10087,2023 - 2024 Güz Dönemi
EEF 205,Lojik Tasarıma Giriş,Ali Sinan Çabuk,Cuma,0830/1129,EEB / 5102,66,65,"EHB, ELK, KOM",10088,2023 - 2024 Güz Dönemi
EEF 205,Lojik Tasarıma Giriş,Yüksel Çakır,Cuma,0830/1129,EEB / 5104,65,65,"EHB, ELK, KOM",10089,2023 - 2024 Güz Dönemi
EEF 205,Lojik Tasarıma Giriş,Osman Kaan Erol,Cuma,0830/1129,EEB / 5202,42,65,"EHB, ELK, KOM",10090,2023 - 2024 Güz Dönemi
EEF 205,Lojik Tasarıma Giriş,Yusuf Yaşa,Cuma,0830/1129,EEB / 5107,65,65,"EHB, ELK, KOM",10091,2023 - 2024 Güz Dönemi
EEF 205E,Introduction to Logic Design,--,Cuma,0830/1129,EEB / ---,0,0,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10092,2023 - 2024 Güz Dönemi
EEF 205E,Introduction to Logic Design,Sıddıka Berna Örs Yalçın,Cuma,0830/1129,EEB / 5302,95,95,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10093,2023 - 2024 Güz Dönemi
EEF 205E,Introduction to Logic Design,--,Cuma,0830/1129,EEB / ---,0,0,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10094,2023 - 2024 Güz Dönemi
EEF 205E,Introduction to Logic Design,Ahmet Can Erten,Cuma,0830/1129,EEB / 4102,96,96,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10095,2023 - 2024 Güz Dönemi
EEF 205E,Introduction to Logic Design,Aydın Tarık Zengin,Cuma,0830/1129,EEB / 4104,96,96,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10099,2023 - 2024 Güz Dönemi
EEF 205E,Introduction to Logic Design,Mustafa Altun,Cuma,0830/1129,EEB / 6309,93,93,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",15211,2023 - 2024 Güz Dönemi
EEF 210,Diferansiyel Denklemler,--,Perşembe,1230/1529,EEB / ---,0,0,"EHB, ELK, KOM",10102,2023 - 2024 Güz Dönemi
EEF 210,Diferansiyel Denklemler,Aydın Tarık Zengin,Perşembe,1230/1529,EEB / 5102,45,70,"EHB, ELK, KOM",10105,2023 - 2024 Güz Dönemi
EEF 210,Diferansiyel Denklemler,Cemanur Aydınalp,Perşembe,1230/1529,EEB / 5302,71,70,"EHB, ELK, KOM",10108,2023 - 2024 Güz Dönemi
EEF 210E,Differential Equations,--,Perşembe,1230/1529,EEB / ---,0,0,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10112,2023 - 2024 Güz Dönemi
EEF 210E,Differential Equations,Gülay Öke Günel,Perşembe,1230/1529,EEB / 5202,69,70,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10114,2023 - 2024 Güz Dönemi
EEF 210E,Differential Equations,Erhan Yumuk,Perşembe,1230/1529,EEB / 5204,72,70,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME",10116,2023 - 2024 Güz Dönemi
