Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EHB 101,EHM Giriş ve Müh. Etiği,Hakan Ali Çırpan,Çarşamba,1330/1529,EEB / 5102,115,150,EHB,10366,2023 - 2024 Güz Dönemi
EHB 101E,Int.toElctr.&Comm.Eng.&Eng.Eth,Tayfun Akgül,Çarşamba,1330/1529,EEB / 5104,111,150,"EHB, EHBE",10220,2023 - 2024 Güz Dönemi
EHB 208E,Data Structures & Programming,İbrahim Çatalkaya,Perşembe,0830/1129,EEB / 5102,116,130,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, TEL",10224,2023 - 2024 Güz Dönemi
EHB 208E,Data Structures & Programming,Bora Döken,Perşembe,0830/1129,EEB / 5104,130,130,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, TEL",10231,2023 - 2024 Güz Dönemi
EHB 211E,Basics of Electrical Circuits,Nizamettin Aydın,Çarşamba,1230/1529,GDB / D311,106,150,"BLG, BLGE, CEN",15086,2023 - 2024 Güz Dönemi
EHB 211E,Basics of Electrical Circuits,Sheida Faraji,Çarşamba,1230/1529,EEB / 5105,104,100,"BLG, BLGE, CEN",15286,2023 - 2024 Güz Dönemi
EHB 222E,Introduction to Electronics,--,Salı,1230/1529,EEB / ---,0,0,"BLG, BLGE, CEN, EEE, EHB, EHBE, ELE, ELH, ELK, ELKE, KOM, KOME, KON, KONE, MKN, TEL",10233,2023 - 2024 Güz Dönemi
EHB 222E,Introduction to Electronics,Hasan Bülent Yağcı,Salı,1230/1529,EEB / 2104,103,100,"BLG, BLGE, CEN, EEE, EHB, EHBE, ELE, ELH, ELK, ELKE, KOM, KOME, KON, KONE, MKN, TEL",10237,2023 - 2024 Güz Dönemi
EHB 222E,Introduction to Electronics,Bora Döken,Salı,1230/1529,EEB / 5304,121,95,"BLG, BLGE, CEN, EEE, EHB, EHBE, ELE, ELH, ELK, ELKE, KOM, KOME, KON, KONE, MKN, TEL",10239,2023 - 2024 Güz Dönemi
EHB 222E,Introduction to Electronics,İbrahim Çatalkaya,Salı,1230/1529,EEB / 2106,101,100,"BLG, BLGE, CEN, EEE, EHB, EHBE, ELE, ELH, ELK, ELKE, KOM, KOME, KON, KONE, MKN, TEL",10240,2023 - 2024 Güz Dönemi
EHB 227E,Introduction to Optics,Fatma İnci Çilesiz,Çarşamba,1230/1529,EEB / 2102,36,50,"EEE, EHB, EHBE, EHS, ELK, ELKE, KOM, KOME",10241,2023 - 2024 Güz Dönemi
EHB 235,Kompleks Fonk Teorisi,Ali Yapar,Çarşamba,1230/1529,EEB / 5202,83,85,"EHB, ELK",10243,2023 - 2024 Güz Dönemi
EHB 235E,Theory of Complex Functions,Gülşah Yıldız Altıntaş,Çarşamba,1230/1529,EEB / 5304,82,85,"EEE, EHB, EHBE, EHS, ELK, ELKE, KOM, KOME",10246,2023 - 2024 Güz Dönemi
EHB 235E,Theory of Complex Functions,Kamil Karaçuha,Çarşamba,1230/1529,EEB / 4102,84,85,"EEE, EHB, EHBE, EHS, ELK, ELKE, KOM, KOME",11385,2023 - 2024 Güz Dönemi
EHB 307,Haberleşme I,--,Perşembe,0830/1129,EEB / ---,0,0,EHB,10263,2023 - 2024 Güz Dönemi
EHB 307,Haberleşme I,"Hakan Ali Çırpan, Ertuğrul Güvenkaya",Perşembe,0830/1129,EEB / 5302,62,70,EHB,10265,2023 - 2024 Güz Dönemi
EHB 307,Haberleşme I,İbrahim Altunbaş,Perşembe,0830/1129,EEB / 5304,70,70,EHB,10269,2023 - 2024 Güz Dönemi
EHB 307E,Communication I,--,Perşembe,0830/1129,EEB / ---,0,0,"EEE, EHB, EHBE",10273,2023 - 2024 Güz Dönemi
EHB 307E,Communication I,Ferkan Yılmaz,Perşembe,0830/1129,EEB / 5202,70,70,"EEE, EHB, EHBE",10275,2023 - 2024 Güz Dönemi
EHB 307E,Communication I,Semiha Tedik Başaran,Perşembe,0830/1129,EEB / 5204,70,70,"EEE, EHB, EHBE",10279,2023 - 2024 Güz Dönemi
EHB 311E,Intr.to Electronics Laboratory,İbrahim Çatalkaya,Pazartesi,1430/1629,EEB / ---,45,45,"BLG, BLGE, CEN, EEE, KOM, KOME, KON, KONE",14292,2023 - 2024 Güz Dönemi
EHB 311E,Intr.to Electronics Laboratory,Bora Döken,Çarşamba,1230/1429,EEB / ---,46,45,"BLG, BLGE, CEN, EEE, KOM, KOME, KON, KONE",10287,2023 - 2024 Güz Dönemi
EHB 311E,Intr.to Electronics Laboratory,Bora Döken,Perşembe,1230/1429,EEB / ---,46,45,"BLG, BLGE, CEN, EEE, KOM, KOME, KON, KONE",14293,2023 - 2024 Güz Dönemi
EHB 311E,Intr.to Electronics Laboratory,Ali Bahadır,Cuma,0830/1029,EEB / ---,32,45,"BLG, BLGE, CEN, EEE, KOM, KOME, KON, KONE",10284,2023 - 2024 Güz Dönemi
EHB 315,Sayısal İşaret İşleme,Işın Erer,Cuma,0830/1129,EEB / 2106,88,85,"EHB, ELK, TEL",10288,2023 - 2024 Güz Dönemi
EHB 315E,Digital Signal Processing,Tayfun Akgül,Cuma,0830/1129,EEB / 5301,71,85,"EEE, EHB, EHBE, EHS, ELK, ELKE, TEL",10290,2023 - 2024 Güz Dönemi
EHB 315E,Digital Signal Processing,Ender Mete Ekşioğlu,Cuma,0830/1129,EEB / 5305,84,85,"EEE, EHB, EHBE, EHS, ELK, ELKE, TEL",10291,2023 - 2024 Güz Dönemi
EHB 324,Lojik Tasarım Lab.,Ali Bahadır,Salı,0830/1029,EEB / ---,11,30,"EHB, TEL",10294,2023 - 2024 Güz Dönemi
EHB 324,Lojik Tasarım Lab.,Ali Bahadır,Perşembe,0830/1029,EEB / ---,10,30,"EHB, TEL",10292,2023 - 2024 Güz Dönemi
EHB 324,Lojik Tasarım Lab.,Ali Bahadır,Perşembe,1230/1429,EEB / ---,30,30,"EHB, TEL",10293,2023 - 2024 Güz Dönemi
EHB 324E,Logic Design Lab.,Ali Bahadır,Salı,1030/1229,EEB / ---,31,30,"EEE, EHB, EHBE, EHS, TEL",10295,2023 - 2024 Güz Dönemi
EHB 324E,Logic Design Lab.,Sıddıka Berna Örs Yalçın,Çarşamba,1030/1229,EEB / ---,30,30,"EEE, EHB, EHBE, EHS, TEL",10297,2023 - 2024 Güz Dönemi
EHB 324E,Logic Design Lab.,Hasan Bülent Yağcı,Perşembe,1030/1229,EEB / ---,10,30,"EEE, EHB, EHBE, EHS, TEL",10298,2023 - 2024 Güz Dönemi
EHB 324E,Logic Design Lab.,--,Cuma,0830/1029,EEB / ---,0,0,"EEE, EHB, EHBE, EHS, TEL",10299,2023 - 2024 Güz Dönemi
EHB 324E,Logic Design Lab.,Hasan Bülent Yağcı,Cuma,1030/1229,EEB / ---,20,30,"EEE, EHB, EHBE, EHS, TEL",10296,2023 - 2024 Güz Dönemi
EHB 326E,Intr.to Embedded Systems,Müştak Erhan Yalçın,Perşembe,1230/1529,EEB / 2102,70,70,"EHB, EHBE, EHS, KOM, KOME",10300,2023 - 2024 Güz Dönemi
EHB 328,İşaret İşleme için Makine Öğr.,Bilge Günsel,Cuma,1400/1659,EEB / 2102,37,60,EHB,10301,2023 - 2024 Güz Dönemi
EHB 328E,Machine Learning for Sig.Proc.,İbraheem Shayea,Cuma,0830/1129,EEB / 2102,59,60,"EHB, EHBE, EHS",10302,2023 - 2024 Güz Dönemi
EHB 335E,Analog Electronic Circuits,Mustafa Berke Yelten,Çarşamba,0830/1129,EEB / 5102,85,85,"EEE, EHB, EHBE, ELE, ELH, TEL",10303,2023 - 2024 Güz Dönemi
EHB 335E,Analog Electronic Circuits,Nil Banu Tarım,Çarşamba,0830/1129,EEB / 5104,91,100,"EEE, EHB, EHBE, ELE, ELH, TEL",10304,2023 - 2024 Güz Dönemi
EHB 335E,Analog Electronic Circuits,--,Çarşamba,0830/1129,EEB / ---,0,0,"EHB, EHBE, ELE, ELH, TEL",15212,2023 - 2024 Güz Dönemi
EHB 337,Elektromanyetik Teori-II,--,Salı,0830/1129,EEB / ---,0,0,EHB,10305,2023 - 2024 Güz Dönemi
EHB 337,Elektromanyetik Teori-II,Funda Akleman Yapar,Salı,0830/1129,EEB / 2102,60,60,EHB,10306,2023 - 2024 Güz Dönemi
EHB 337,Elektromanyetik Teori-II,Özgür Özdemir,Salı,0830/1129,EEB / 2104,60,60,EHB,10307,2023 - 2024 Güz Dönemi
EHB 337E,Theory of Electromagnetics II,--,Salı,0830/1129,EEB / ---,0,0,"EEE, EHB, EHBE",10308,2023 - 2024 Güz Dönemi
EHB 337E,Theory of Electromagnetics II,Mehmet Çayören,Salı,0830/1129,EEB / 2106,60,60,"EEE, EHB, EHBE",10309,2023 - 2024 Güz Dönemi
EHB 337E,Theory of Electromagnetics II,İbrahim Akduman,Salı,0830/1129,EEB / 4102,47,60,"EEE, EHB, EHBE",10310,2023 - 2024 Güz Dönemi
EHB 413E,VLSI Circuit Design I,Tufan Coşkun Karalar,Cuma,0830/1129,EEB / 5101,26,30,"EHB, EHBE, EHS",10311,2023 - 2024 Güz Dönemi
EHB 415E,Data Communications,Selçuk Paker,Pazartesi,0830/1129,EEB / 6309,26,70,"EHB, EHBE, EHS, TEL",10327,2023 - 2024 Güz Dönemi
EHB 417E,RF Microelectronics,Tufan Coşkun Karalar,Pazartesi,0830/1129,EEB / 5201,34,50,"EHB, EHBE, EHS, ELE",10330,2023 - 2024 Güz Dönemi
EHB 418E,RF Electronics Applications,Hasan Bülent Yağcı,Çarşamba,0830/1229,EEB / 5201,6,20,"EHB, EHBE, EHS, ELE",10334,2023 - 2024 Güz Dönemi
EHB 419,Sayısal Sistem Tasarımı,Ece Olcay Güneş,Çarşamba,0830/1129,EEB / 5203,38,50,"EHB, ELE, ELH",10336,2023 - 2024 Güz Dönemi
EHB 420E,Artificial Neural Networks,İsa Yıldırım,Cuma,1400/1659,EEB / 5102,55,55,"EHB, EHBE, EHS, ELE, ELH, TEL",10339,2023 - 2024 Güz Dönemi
EHB 420E,Artificial Neural Networks,Onur Ergen,Cuma,1400/1659,EEB / 5104,54,55,"EHB, EHBE, EHS, ELE, ELH, TEL",10342,2023 - 2024 Güz Dönemi
EHB 421,Tıp Elektroniğine Giriş,Zümray Ölmez,Salı,1230/1529,EEB / 5201,34,50,"EHB, ELE, ELH",10343,2023 - 2024 Güz Dönemi
EHB 422,Biyolojik İşar.Ol.&Alg.Yöntem.,"Zümray Ölmez, Tamer Ölmez",Çarşamba,1230/1529,EEB / 5201,44,50,"EHB, ELE, ELH",10344,2023 - 2024 Güz Dönemi
EHB 436E,Digital System Design Applic.,Sıddıka Berna Örs Yalçın,Salı,1230/1629,EEB / 5205,20,20,"EHB, EHBE, EHS, ELE",10347,2023 - 2024 Güz Dönemi
EHB 436E,Digital System Design Applic.,Ece Olcay Güneş,Perşembe,0830/1229,EEB / 5303,18,20,"EHB, EHBE, EHS, ELE",10345,2023 - 2024 Güz Dönemi
