Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ICM 119E,Int.to Interior Archit.&Ethics,Emine Görgül,Çarşamba,1330/1529,MMB / 215,79,90,"IAD, ICM",12709,2023 - 2024 Güz Dönemi
ICM 204,İç Mimarlıkta Tarih & Kuram II,Deniz Çalışır Pençe,Pazartesi,0830/1129,MMB / 215,64,80,ICM,12694,2023 - 2024 Güz Dönemi
ICM 209E,Inter.Arch.Design Fund.Studio,Ervin Garip,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203A
203A",26,25,"IAD, ICM",12725,2023 - 2024 Güz Dönemi
ICM 209E,Inter.Arch.Design Fund.Studio,Seniye Banu Garip,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203A
203A",23,25,"IAD, ICM",12726,2023 - 2024 Güz Dönemi
ICM 209E,Inter.Arch.Design Fund.Studio,Orkan Zeynel Güzelci,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203A
203A",24,25,"IAD, ICM",12728,2023 - 2024 Güz Dönemi
ICM 215,Taşıyıcı Sistem İlkeleri,--,Cuma,1400/1659,MMB / ---,0,0,ICM,12700,2023 - 2024 Güz Dönemi
ICM 217E,Intr.to Interior Architecture,--,Çarşamba,1230/1529,MMB / ---,0,0,"ICM, ICME",12710,2023 - 2024 Güz Dönemi
ICM 219,Tasarım Araştırmalarına Giriş,Ethem Gürer,Çarşamba,0930/1229,MMB / 213,43,80,ICM,12707,2023 - 2024 Güz Dönemi
ICM 233,Yapı Malzemesi,Mehmet Serkan Yatağan,"Çarşamba
Cuma","0830/1029
1400/1559","MMB
MMB / MZLB
213",62,80,ICM,12699,2023 - 2024 Güz Dönemi
ICM 246E,Interior Arch. Design Studio I,Emine Görgül,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",1,2,"IAD, ICM, ICMM",12729,2023 - 2024 Güz Dönemi
ICM 246E,Interior Arch. Design Studio I,Dicle Hökenek,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",0,2,"IAD, ICM, ICMM",12730,2023 - 2024 Güz Dönemi
ICM 246E,Interior Arch. Design Studio I,Özgür Kayabay,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",2,2,"IAD, ICM, ICMM",12733,2023 - 2024 Güz Dönemi
ICM 305E,Statistics,Ahmet Gün,Cuma,1400/1659,---- / ----,37,80,ICM,12706,2023 - 2024 Güz Dönemi
ICM 325,"Iç Mim.Tarih,Kuram &Elştri IV",Deniz Çalışır Pençe,Cuma,1030/1229,---- / ----,31,80,ICM,12698,2023 - 2024 Güz Dönemi
ICM 349E,Interior Arch.Design Studio II,Emine Görgül,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",26,27,"ICM, ICMM",12734,2023 - 2024 Güz Dönemi
ICM 349E,Interior Arch.Design Studio II,Dicle Hökenek,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",27,27,"ICM, ICMM",12735,2023 - 2024 Güz Dönemi
ICM 349E,Interior Arch.Design Studio II,Özgür Kayabay,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203B
203B",27,27,"ICM, ICMM",12738,2023 - 2024 Güz Dönemi
ICM 351E,Space And Furniture,Çiğdem Eren,Salı,1330/1729,MMB / CATI 1,40,45,"ICM, ICMM",12702,2023 - 2024 Güz Dönemi
ICM 351E,Space And Furniture,Kemal Can Atalayer,Salı,1330/1729,MMB / CATI 1,41,45,ICM,14719,2023 - 2024 Güz Dönemi
ICM 355E,Invstg.Colr&Light in Int.Arch,Ethem Gürer,Salı,0930/1229,MMB / 3404,44,44,"ICM, ICMM",12703,2023 - 2024 Güz Dönemi
ICM 355E,Invstg.Colr&Light in Int.Arch,Demet Arslan Dinçay,Salı,0930/1229,MMB / 309,39,44,"ICM, ICMM",12704,2023 - 2024 Güz Dönemi
ICM 366E,Interior Arch.Desgn Studio III,Özge Cordan,"Pazartesi
Perşembe","1330/1729
1330/1729","MMB
MMB / 203C
203C",1,3,ICM,12739,2023 - 2024 Güz Dönemi
