Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JEO 112,Genel Jeoloji,Kürşad Kadir Eriş,Salı,0830/1129,MDB / A201,39,45,"MAD, MADM",12518,2023 - 2024 Güz Dönemi
JEO 112E,General Geology,Gürsel Sunal,Pazartesi,1430/1729,MDB / A204,66,63,"JEF, JEFE, MAD, MADE, PET, PETE",12285,2023 - 2024 Güz Dönemi
JEO 112E,General Geology,Ziyadin Çakır,Cuma,1400/1659,MDB / B204,51,60,"JEF, JEFE, MAD, MADE, PET, PETE",12514,2023 - 2024 Güz Dönemi
JEO 112E,General Geology,Nilgün Okay,Cuma,1400/1659,MDB / B205,60,60,"JEF, JEFE, MAD, MADE, PET, PETE",12516,2023 - 2024 Güz Dönemi
JEO 113,Kristalografi,"Recep Fahri Esenli, Bala Ekinci Şans",Pazartesi,0830/1129,MDB / B205,84,90,"JEO, JEOM",12507,2023 - 2024 Güz Dönemi
JEO 117,Genel Jeoloji,Cenk Yaltırak,Çarşamba,1230/1529,MDB / A301,40,40,"JEO, JEOM",12522,2023 - 2024 Güz Dönemi
JEO 117,Genel Jeoloji,Cengiz Zabcı,Çarşamba,1230/1529,MDB / A302,37,40,"JEO, JEOM",12525,2023 - 2024 Güz Dönemi
JEO 121,Yer Bilimlerinde Tas. Geometri,Ömer Ündül,Cuma,0830/1129,MDB / A302,81,85,JEO,12526,2023 - 2024 Güz Dönemi
JEO 131,Jeoloji Mühendisliğine Giriş,Emin Çiftçi,Perşembe,1230/1329,MDB / A203,76,100,JEO,12528,2023 - 2024 Güz Dönemi
JEO 218,Jeolojide Termodinamik,Murat Budakoğlu,Salı,1530/1729,MDB / B204,42,55,JEO,12531,2023 - 2024 Güz Dönemi
JEO 222,Jeomekanik,Yılmaz Mahmutoğlu,Pazartesi,0830/1229,MDB / A105,79,80,"JEF, JEO, JEOM",12288,2023 - 2024 Güz Dönemi
JEO 223E,Paleontology,Demet Biltekin,Perşembe,1130/1429,MDB / A202,50,65,"JEO, JEOE",12539,2023 - 2024 Güz Dönemi
JEO 242,Optik Mineraloji,Şengül Can Genç,Pazartesi,1430/1729,MDB / A301,37,38,"JEO, JEOM",12542,2023 - 2024 Güz Dönemi
JEO 242,Optik Mineraloji,Zekiye Karacık,Perşembe,1430/1729,MDB / A302,38,38,"JEO, JEOM",12547,2023 - 2024 Güz Dönemi
JEO 256E,Structural Geology,Boris Nataline,Perşembe,1130/1429,MDB / A302,28,25,"JEO, JEOM",14895,2023 - 2024 Güz Dönemi
JEO 301,Metamorfik Kayaç Petrografisi,Şenel Özdamar,Perşembe,0830/1129,MDB / A203,23,60,JEO,12574,2023 - 2024 Güz Dönemi
JEO 303E,Introduction to Geophysics,Ahmet Murat Akoğlu,Çarşamba,1330/1529,MDB / A204,32,60,JEO,12576,2023 - 2024 Güz Dönemi
JEO 305E,Geochemistry,--,Çarşamba,0830/1129,MDB / ---,0,0,"JEO, JEOM",12578,2023 - 2024 Güz Dönemi
JEO 305E,Geochemistry,Nurgül Çelik Balcı,Çarşamba,0830/1129,MDB / ---,4,70,"JEO, JEOE, JEOM",15250,2023 - 2024 Güz Dönemi
JEO 307E,Geochemistry,Nurgül Çelik Balcı,Çarşamba,0830/1129,MDB / B206,56,70,"JEO, JEOM",15152,2023 - 2024 Güz Dönemi
JEO 311,Şev Stabilitesi Analizleri,--,Pazartesi,1330/1629,MDB / ---,0,0,JEO,12582,2023 - 2024 Güz Dönemi
JEO 314,Kayaç Yapıcı Mineraller,--,Pazartesi,1330/1629,MDB / ---,0,0,JEO,12586,2023 - 2024 Güz Dönemi
JEO 316,Kıymetli Mineral ve Kayaçlar,--,Salı,1330/1629,MDB / ---,0,0,JEO,12610,2023 - 2024 Güz Dönemi
JEO 317,Jeoloji Haritalr & Kartografya,Ufuk Tarı,Salı,0830/1129,MDB / ---,45,45,JEO,15252,2023 - 2024 Güz Dönemi
JEO 325,Jeolojide Bilgisayar Uygul,Fuat Yavuz,Pazartesi,1330/1629,MDB / 315,23,25,"JEF, JEO",12611,2023 - 2024 Güz Dönemi
JEO 326,Yapı Gereçleri Jeolojisi,"Ömer Ündül, Erkan Bozkurtoğlu",Salı,1330/1629,MDB / B205,16,30,JEO,12612,2023 - 2024 Güz Dönemi
JEO 331,Petrografi,Şenel Özdamar,Perşembe,1330/1629,MDB / ---,1,10,MAD,15301,2023 - 2024 Güz Dönemi
JEO 335,Uygulamalı Zemin Mekaniği,Erkan Bozkurtoğlu,Salı,0830/1129,MDB / A204,6,30,JEO,12614,2023 - 2024 Güz Dönemi
JEO 338,Maden Aramaları,"Emin Çiftçi, Mustafa Kumral",Salı,0930/1229,MDB / B208,18,30,JEO,12615,2023 - 2024 Güz Dönemi
JEO 342,Metamorfik Petroloji,--,Pazartesi,0830/1129,MDB / ---,0,0,JEO,12616,2023 - 2024 Güz Dönemi
JEO 343,Sondaj Tekniği,Erkan Bozkurtoğlu,Cuma,1400/1659,MDB / B206,44,50,"JEO, JEOE, JEOM",15251,2023 - 2024 Güz Dönemi
JEO 350,Müh.Tas.Temel İlke.&Yönt.,--,Salı,0930/1229,MDB / ---,0,0,JEO,12617,2023 - 2024 Güz Dönemi
JEO 351,Jeoistatistik,"Fuat Yavuz, Demet Yıldırım",Salı,1330/1529,MDB / A203,24,50,"JEO, JEOE, JEOM",15253,2023 - 2024 Güz Dönemi
JEO 355E,Sedimentology,Gülsen Uçarkuş,Çarşamba,1330/1529,MDB / A202,13,13,"JEO, JEOM",14894,2023 - 2024 Güz Dönemi
JEO 357E,Experimental Rock Mechanics,--,Perşembe,1430/1729,MDB / ---,0,0,"JEO, JEOE",12618,2023 - 2024 Güz Dönemi
JEO 361,Jeolojik Haritalar&Kartografya,Hüsnü Serdar Akyüz,Salı,0830/1029,MDB / A301,31,45,JEO,12619,2023 - 2024 Güz Dönemi
JEO 370,Sondaj Tekniği,Erkan Bozkurtoğlu,Cuma,1400/1659,MDB / B206,33,50,JEO,12620,2023 - 2024 Güz Dönemi
JEO 371,Jeoistatistik,"Fuat Yavuz, Demet Yıldırım",Salı,1330/1529,MDB / A203,32,50,JEO,12621,2023 - 2024 Güz Dönemi
JEO 391,Zemin Mekaniğine Giriş,--,Cuma,0830/1129,MDB / ---,0,0,JEO,12622,2023 - 2024 Güz Dönemi
JEO 409,Türkiye Jeolojisi,Cenk Yaltırak,Perşembe,1330/1529,MDB / B204,65,65,"JEF, JEO",12624,2023 - 2024 Güz Dönemi
JEO 413,Jeologlar için Autocad,Ömer Ündül,Salı,0930/1229,MDB / 315,13,20,JEO,12625,2023 - 2024 Güz Dönemi
JEO 416,Kömür Yatakları,--,Pazartesi,1330/1629,MDB / ---,0,0,JEO,12626,2023 - 2024 Güz Dönemi
JEO 419,Uygulamalı Mineraloji,Recep Fahri Esenli,Çarşamba,0930/1229,MDB / ---,12,30,JEO,12627,2023 - 2024 Güz Dönemi
JEO 423,Maden Yataklarının Değerl,--,Çarşamba,0930/1229,MDB / ---,0,0,JEO,12628,2023 - 2024 Güz Dönemi
JEO 424,Volkanoloji,--,Cuma,0930/1229,MDB / ---,0,0,JEO,15312,2023 - 2024 Güz Dönemi
JEO 425,Magmatik Petroloji,"Şafak Altunkaynak, Alp Ünal",Çarşamba,0930/1229,MDB / A302,7,30,JEO,12629,2023 - 2024 Güz Dönemi
JEO 429,Termal Hidrojeoloji,--,Çarşamba,0930/1229,MDB / ---,0,0,JEO,13062,2023 - 2024 Güz Dönemi
JEO 431,Mühendislik Jeolojisi,"Yılmaz Mahmutoğlu, Ömer Ündül",Perşembe,0830/1229,MDB / A204,62,65,"JEO, JEOM",12631,2023 - 2024 Güz Dönemi
JEO 437,Tıbbi Jeoloji,Yüksel Örgün Tutay,Pazartesi,1330/1629,MDB / A302,8,30,JEO,12632,2023 - 2024 Güz Dönemi
JEO 438,Çevre Jeolojisi,İrfan Yolcubal,Cuma,0830/1129,MDB / B204,29,30,"JEF, JEO",13064,2023 - 2024 Güz Dönemi
JEO 445E,Petroleum and Natural Gas Geo.,"Sedat İnan, Zeynep Döner",Çarşamba,1230/1529,MDB / A205,74,80,"JEF, JEFE, JEO, JEOE, PET, PETE",12368,2023 - 2024 Güz Dönemi
JEO 449E,Chrc.of Disc.Medi-Mch.&Hyd.Pr.,--,Pazartesi,1330/1629,MDB / ---,0,0,JEO,12634,2023 - 2024 Güz Dönemi
JEO 450,Biojeokimya,--,Çarşamba,0930/1229,MDB / ---,0,0,JEO,12635,2023 - 2024 Güz Dönemi
JEO 451,Doğal Suların İzotop Jeokim,--,Cuma,0830/1129,MDB / ---,0,0,JEO,12638,2023 - 2024 Güz Dönemi
JEO 452,Yerbilimler. Jeokim.Veri Kull.,--,Pazartesi,1330/1629,MDB / ---,0,0,JEO,12640,2023 - 2024 Güz Dönemi
JEO 4901,Jeoloji Müh. Tasarımı I,Ömer Ündül,----,/,MDB / ---,29,500,JEO,12662,2023 - 2024 Güz Dönemi
JEO 4901E,Geological Engin. Design I,Ömer Ündül,----,/,MDB / ---,3,500,JEO,12663,2023 - 2024 Güz Dönemi
JEO 4902,Jeoloji Müh. Tasarımı II,Emin Çiftçi,----,/,MDB / ---,13,500,JEO,12644,2023 - 2024 Güz Dönemi
JEO 4902E,Geological Engin. Design II,Emin Çiftçi,----,/,MDB / ---,0,500,JEO,12646,2023 - 2024 Güz Dönemi
JEO 492,Bitirme Tasarım Projesi,Emin Çiftçi,----,/,MDB / ---,2,500,JEO,12641,2023 - 2024 Güz Dönemi
JEO 492E,Graduation Design Project,Emin Çiftçi,----,/,MDB / ---,5,500,"JEO, JEOE",12643,2023 - 2024 Güz Dönemi
