Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KIM 104,Organik Kimya,"Hacer Ayşen Önen, İbrahim Ersin Serhatlı",Çarşamba,1230/1529,FEB / D103,64,71,"GID, KIMM, KMM",10651,2023 - 2024 Güz Dönemi
KIM 104L,Organik Kimya Lab.,"Hacer Ayşen Önen, İbrahim Ersin Serhatlı",Perşembe,0830/1029,FEB / LAB-D,42,60,"GID, KMM",10652,2023 - 2024 Güz Dönemi
KIM 111,Genel Kimya I,İsmail Yılmaz,"Pazartesi
Salı","1030/1229
1130/1329","FEB
FEB / D101
D101",35,35,"KIM, KIMM",10654,2023 - 2024 Güz Dönemi
KIM 111,Genel Kimya I,Ozan Sanlı Şentürk,"Pazartesi
Salı","1030/1229
1130/1329","FEB
FEB / D103
D201",33,35,"KIM, KIMM",10670,2023 - 2024 Güz Dönemi
KIM 111L,Genel Kimya I Lab,İsmail Yılmaz,Salı,0930/1129,FEB / LAB-E,35,35,KIM,10671,2023 - 2024 Güz Dönemi
KIM 111L,Genel Kimya I Lab,Ozan Sanlı Şentürk,Salı,0930/1129,FEB / LAB-F,29,35,KIM,10673,2023 - 2024 Güz Dönemi
KIM 113,Kimyaya Giriş ve Etik,Barış Yücel,Çarşamba,1330/1529,FEB / D202,98,105,KIM,10677,2023 - 2024 Güz Dönemi
KIM 114,Genel Kimya II,Ayfer Kalkan Burat,"Pazartesi
Çarşamba","1130/1329
1030/1229","FEB
FEB / D105
D101",40,45,"KIM, KIMM",10683,2023 - 2024 Güz Dönemi
KIM 114L,Genel Kimya II Lab.,Ayfer Kalkan Burat,Pazartesi,1330/1629,FEB / LAB-F,33,40,KIM,10688,2023 - 2024 Güz Dönemi
KIM 202,Fiziksel Kimya,Esma Sezer,Pazartesi,1430/1729,FEB / D104,28,40,"BIO, CEV, CHZ, DEN, EHB, ELE, ELH, ELK, GEM, GID, GMI, INS, JEF, JEO, KIMM, KMM, KMMM, KYD, MAD, MET, PET, TEL",10691,2023 - 2024 Güz Dönemi
KIM 202E,Physical Chemistry,Fuat Topuz,Pazartesi,1430/1729,MED / B33,47,50,"BIO, BIOE, CEV, CEVE, CHZE, DENE, EHB, EHBE, ELK, ELKE, GEME, GEMK, GIDE, INS, INSE, JEOE, KMM, KMME, KOM, KOME, MADE, MEN, MET, METE, PETE",10697,2023 - 2024 Güz Dönemi
KIM 202E,Physical Chemistry,Erdem Yavuz,Pazartesi,1430/1729,FEB / L400,16,50,"BIO, BIOE, CEV, CEVE, CHZE, DENE, EHB, EHBE, ELK, ELKE, GEME, GEMK, GIDE, INS, INSE, JEOE, KMM, KMME, KOM, KOME, MADE, MEN, MET, METE, PETE",10699,2023 - 2024 Güz Dönemi
KIM 203,Analitik Kimya,Gülçin Yılmaz,Pazartesi,1430/1729,FEB / D202,12,35,"BIO, CHZ, DEN, ELE, ELH, ELK, GEM, JEO, MAD, MET, PET, TEL",10700,2023 - 2024 Güz Dönemi
KIM 203E,Analytical Chemistry,Ferah Çalışır,Pazartesi,1430/1729,FEB / D203,49,50,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ELE, ELH, ELK, ELKE, GEM, GEME, GEMK, JEO, JEOE, MAD, MADE, MET, METE, PET, PETE, TEL",10701,2023 - 2024 Güz Dönemi
KIM 203E,Analytical Chemistry,Sevgi Güney,Pazartesi,1430/1729,FEB / D204,42,50,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ELE, ELH, ELK, ELKE, GEM, GEME, GEMK, JEO, JEOE, MAD, MADE, MET, METE, PET, PETE, TEL",10706,2023 - 2024 Güz Dönemi
KIM 205,Organik Kimya,Gönül Yapar,Çarşamba,0830/1129,FEB / D205,38,50,"BIO, BIOM, CEV, CHZ, DEN, ELE, ELH, ELK, GEM, INS, JEO, KIMM, KYD, MAD, MET, PET, TEL",10713,2023 - 2024 Güz Dönemi
KIM 205E,Organic Chemistry,Hakan Durmaz,Çarşamba,0830/1129,MED / B33,39,40,"BIOM, CEV, CEVE, CHZE, DENE, ELKE, GEME, GEMK, INS, INSE, JEOE, KIM, KIMM, MADE, MET, METE, PETE, TEKE",10716,2023 - 2024 Güz Dönemi
KIM 205E,Organic Chemistry,Nesrin Köken,Çarşamba,0830/1129,FEB / L400,26,40,"BIOM, CEV, CEVE, CHZE, DENE, ELKE, GEME, GEMK, INS, INSE, JEOE, KIM, KIMM, MADE, MET, METE, PETE, TEKE",10720,2023 - 2024 Güz Dönemi
KIM 206,Analitik Kimya & Enst Analizi,Nevin Öztekin,Salı,1430/1729,FEB / D105,35,45,"GID, KIMM, KMM, KYD",10724,2023 - 2024 Güz Dönemi
KIM 207,İnorganik Kimya,Ayfer Kalkan Burat,Perşembe,1430/1729,FEB / D103,41,50,"CHZ, DEN, ELE, ELH, ELK, FIZ, GEM, JEF, JEO, KIMM, KMM, KYD, MAD, PET, TEL",10727,2023 - 2024 Güz Dönemi
KIM 208,İleri Organik Kimya,--,Salı,0830/1129,FEB / ---,0,0,"CHZ, DEN, ELE, ELH, ELK, GEM, JEO, KIMM, KMM, KYD, MAD, PET, TEL",10730,2023 - 2024 Güz Dönemi
KIM 210E,Intro to Polymer Chemistry,Barış Kışkan,Pazartesi,1430/1729,FEB / D205,19,40,"BIO, BIOE, KIM, KIME, KIMM, TEK, TEKE",10733,2023 - 2024 Güz Dönemi
KIM 211E,Analytical Chemistry,Fatma Bedia Berker,"Salı
Cuma","1330/1529
1030/1229","FEB
FEB / D205
D205",43,45,"KIM, KIME, KIMM",10736,2023 - 2024 Güz Dönemi
KIM 211E,Analytical Chemistry,Mustafa Özcan,"Salı
Cuma","1330/1529
1030/1229","FEB
FEB / D206
D206",11,45,"KIM, KIME, KIMM",10740,2023 - 2024 Güz Dönemi
KIM 211L,Analitik Kimya Lab,Fatma Bedia Berker,Çarşamba,1030/1529,FEB / LAB-A,68,100,KIM,10744,2023 - 2024 Güz Dönemi
KIM 212,Enstrumental Analitik Yönteml,Ayşegül Gölcü,"Pazartesi
Salı","1230/1429
1130/1329","FEB
FEB / D106
D203",18,30,"KIM, KIMM",10748,2023 - 2024 Güz Dönemi
KIM 219E,Comp.Applications in Chemistry,Abdullah Aydoğan,Çarşamba,0830/1229,FEB / L300,18,25,KIM,13818,2023 - 2024 Güz Dönemi
KIM 223,Anorganik Kimya I,Esin Hamuryudan,Perşembe,0830/1129,FEB / D105,30,40,"KIM, KIMM",10777,2023 - 2024 Güz Dönemi
KIM 223,Anorganik Kimya I,Zehra Bayır,Perşembe,0830/1129,FEB / D106,40,40,"KIM, KIMM",10781,2023 - 2024 Güz Dönemi
KIM 223E,Inorganic Chemistry I,Ozan Sanlı Şentürk,Perşembe,0830/1129,FEB / D205,21,35,KIM,10783,2023 - 2024 Güz Dönemi
KIM 224E,Inorganic Chemistry II,Altuğ Mert Sevim,Cuma,0830/1129,FEB / D105,16,25,KIM,10785,2023 - 2024 Güz Dönemi
KIM 231,Organik Kimya I,Turan Öztürk,"Pazartesi
Salı","1230/1429
1030/1229","FEB
FEB / D201
D105",43,50,"KIM, KIMM",10788,2023 - 2024 Güz Dönemi
KIM 231L,Organik Kimya Lab. I,Ufuk Saim Günay,Perşembe,1230/1729,FEB / LAB-D,62,65,KIM,10794,2023 - 2024 Güz Dönemi
KIM 232,Organik Kimya II,--,"Pazartesi
Salı","1130/1329
1130/1329","FEB
FEB / ---
---",0,0,KIM,10797,2023 - 2024 Güz Dönemi
KIM 232,Organik Kimya II,Okan Sirkecioğlu,"Pazartesi
Salı","1130/1329
1130/1329","FEB
FEB / D202
D205",70,80,KIM,10801,2023 - 2024 Güz Dönemi
KIM 232L,Organik Kimya Lab. II,Nesrin Köken,"Cuma
Cuma","1130/1259
1400/1729","FEB
FEB / LAB-D
LAB-D",18,35,KIM,10805,2023 - 2024 Güz Dönemi
KIM 252,Kimyasal Termodinamik,Nermin Orakdöğen,Pazartesi,0830/1129,FEB / D205,39,50,"KIM, KIMM",10809,2023 - 2024 Güz Dönemi
KIM 262E,Int. Quantum Chemistry,Nurcan Tüzün,Çarşamba,1230/1529,FEB / D105,26,26,"KIM, KIME",10811,2023 - 2024 Güz Dönemi
KIM 262E,Int. Quantum Chemistry,Mine Yurtsever,Çarşamba,1230/1529,FEB / D106,25,26,"KIM, KIME",10812,2023 - 2024 Güz Dönemi
KIM 271,Kimyacılar için Matematik,Berkay Sütay,Salı,0830/1129,FEB / D203,37,70,KIM,10813,2023 - 2024 Güz Dönemi
KIM 303E,Organic Chemistry I,Hacer Ayşen Önen,Perşembe,1030/1229,FEB / D101,10,45,"BIO, BIOE, BIOM, KIMM",10816,2023 - 2024 Güz Dönemi
KIM 311,Fiziksel Kimya I,Candan Erbil,Pazartesi,0830/1129,FEB / D105,42,47,KIM,10820,2023 - 2024 Güz Dönemi
