Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KMP 101,Kompozisyon I,Eray Altınbüken,Cuma,1400/1559,TMB / ---,2,10,"BST, KMP",10909,2023 - 2024 Güz Dönemi
KMP 113,Klasik Armoni I,Nail Yavuzoğlu,Pazartesi,1030/1229,TMB / ---,6,10,"BST, KMP",10910,2023 - 2024 Güz Dönemi
KMP 115,Müzik Formları I,Ayhan Gunca,Perşembe,1030/1229,TMB / ---,2,10,"BST, KMP",10911,2023 - 2024 Güz Dönemi
KMP 193,Armoni I,Recep Gül,Pazartesi,0930/1229,TMB / ---,13,25,"MUT, MUZ, SES",10912,2023 - 2024 Güz Dönemi
KMP 195,Form Bilgisi I,Şirin Karadeniz,Pazartesi,1030/1229,TMB / ---,23,25,"CAB, CEB, MTR, MUT, SES",10913,2023 - 2024 Güz Dönemi
KMP 195,Form Bilgisi I,Şirin Karadeniz,Salı,1030/1229,TMB / ---,25,25,"CAB, CEB, MTR, MUT, SES",10914,2023 - 2024 Güz Dönemi
KMP 197,Konturpuan-Füg I,Ayhan Gunca,Çarşamba,1530/1729,TMB / ---,25,27,"CAB, CEB, MTR",10916,2023 - 2024 Güz Dönemi
KMP 197,Konturpuan-Füg I,Ayhan Gunca,Perşembe,1330/1529,TMB / ---,14,25,"CAB, CEB, MTR",10915,2023 - 2024 Güz Dönemi
KMP 198,Konturpuan-Füg II,Ayhan Gunca,Salı,0830/1029,TMB / ---,5,10,"CAB, CEB, MTR",15107,2023 - 2024 Güz Dönemi
KMP 201,Kompozisyon III,Eray Altınbüken,"Çarşamba
Cuma","0830/1029
1030/1229","TMB
TMB / ---
---",2,10,"BST, KMP",10917,2023 - 2024 Güz Dönemi
KMP 203,Türk Müziği Literatürü I,Neşe Yeşim Altınel Çoban,Pazartesi,0830/1029,TMB / ---,0,10,"BST, KMP",10918,2023 - 2024 Güz Dönemi
KMP 205,Kontrpuan- Füg I,Nail Yavuzoğlu,Perşembe,0830/1029,TMB / ---,2,10,"BST, KMP",10919,2023 - 2024 Güz Dönemi
KMP 293,Armoni I,Recep Gül,Salı,0830/1029,TMB / ---,22,25,"CAB, CEB, MTR, MTRM",10921,2023 - 2024 Güz Dönemi
KMP 293,Armoni I,Recep Gül,Cuma,1400/1559,TMB / ---,24,25,"CAB, CEB, MTR, MTRM",10920,2023 - 2024 Güz Dönemi
KMP 294,Armoni II,Nail Yavuzoğlu,Perşembe,1330/1529,TMB / ---,10,20,"CAB, CEB, MTR, MTRM",10939,2023 - 2024 Güz Dönemi
KMP 301,Kompozisyon V,Oğuzhan Balcı,"Pazartesi
Çarşamba","1330/1529
1030/1229","TMB
TMB / ---
---",2,5,"BST, KMP",10922,2023 - 2024 Güz Dönemi
KMP 303,Kompozisyon Çözümleme I,Tayfun Demirbaş,Pazartesi,1030/1229,TMB / ---,3,5,"BST, KMP",10923,2023 - 2024 Güz Dönemi
KMP 305,Koro Şefliği I,Ayhan Gunca,Salı,1330/1529,TMB / ---,2,10,"BST, KMP",10924,2023 - 2024 Güz Dönemi
KMP 307,Prozodi,Neşe Yeşim Altınel Çoban,Salı,1030/1229,TMB / ---,2,10,"BST, KMP",10925,2023 - 2024 Güz Dönemi
KMP 321,Batı Müziği Literatürü I,Mehmet Özkan,Salı,0830/1029,TMB / ---,1,5,"BST, KMP",10926,2023 - 2024 Güz Dönemi
KMP 323,Türk Müziğinde Polifoni I,Nail Yavuzoğlu,Perşembe,1030/1229,TMB / ---,2,10,"BST, KMP",10927,2023 - 2024 Güz Dönemi
KMP 331,Ölçü ve Vuruş Tekniği I,Ayhan Gunca,Salı,1530/1729,TMB / ---,1,10,"BST, KMP",10928,2023 - 2024 Güz Dönemi
KMP 361,Türk MzğndeFrmBilg.ve Çzmlme I,Gözde Çolakoğlu Sarı,Perşembe,0930/1229,TMB / ---,6,25,MUZ,10929,2023 - 2024 Güz Dönemi
KMP 401,Kompozisyon VII,Oğuzhan Balcı,"Pazartesi
Çarşamba","0830/1029
1330/1529","TMB
TMB / ---
---",6,15,"BST, KMP",10930,2023 - 2024 Güz Dönemi
KMP 403,Kompozisyon Çözümleme III,Ayhan Gunca,Salı,1030/1229,TMB / ---,3,5,"BST, KMP",10931,2023 - 2024 Güz Dönemi
KMP 405,Modern Armoni,Nail Yavuzoğlu,Pazartesi,1330/1529,TMB / ---,2,10,"BST, KMP",10932,2023 - 2024 Güz Dönemi
KMP 411,Orkestrasyon II,Ayhan Gunca,Çarşamba,0830/1029,TMB / ---,5,5,"BST, KMP",10933,2023 - 2024 Güz Dönemi
KMP 421,Batı Müziği Literatürü III,Mehmet Özkan,Cuma,1400/1559,TMB / ---,3,5,"BST, KMP",10934,2023 - 2024 Güz Dönemi
KMP 423,Türk Müziğinde Polifoni III,Nail Yavuzoğlu,Pazartesi,1530/1729,TMB / ---,0,5,"BST, KMP",10935,2023 - 2024 Güz Dönemi
KMP 433,Partisyon Okuma I,Recep Gül,Salı,1530/1729,TMB / ---,2,5,"BST, KMP",10936,2023 - 2024 Güz Dönemi
KMP 457,Partisyon Çözümleme I,Recep Gül,Salı,1030/1229,TMB / ---,1,15,"MTR, MUT",10937,2023 - 2024 Güz Dönemi
KMP 492,Bitirme Çalışması,Oğuzhan Balcı,----,/,TMB / ---,0,100,"BST, KMP",10938,2023 - 2024 Güz Dönemi
