Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PAZ 101,Fundamentals of Textiles,Alper Gürarslan,Pazartesi,1230/1629,MKB / D381B,14,40,STP,13646,2023 - 2024 Güz Dönemi
PAZ 103,The Hist.ofTextile Trade&Tech.,Şükriye Yüksel Filiz,Çarşamba,1330/1529,MKB / D380A,14,40,STP,13648,2023 - 2024 Güz Dönemi
PAZ 103,The Hist.ofTextile Trade&Tech.,--,Cuma,0930/1129,MKB / ---,0,0,STP,14756,2023 - 2024 Güz Dönemi
PAZ 121,Intr. to Fashion Industry,Belgin Görgün,Salı,0830/1129,MKB / D360,14,40,STP,13647,2023 - 2024 Güz Dönemi
PAZ 151,Intro. to Physical Sciences,Emre Onur Kahya,Salı,1330/1629,FEB / B4_Z05,13,40,STP,13924,2023 - 2024 Güz Dönemi
PAZ 207,Fabrics for Interiors,"Canan Sarıçam, Belgin Görgün",Çarşamba,1330/1529,MKB / D360,6,40,STP,13650,2023 - 2024 Güz Dönemi
PAZ 209,Fab. for Private Label Apparel,"Burçak Karagüzel Kayaoğlu, Cevza Candan",Perşembe,1330/1729,MKB / D381A,6,40,STP,13651,2023 - 2024 Güz Dönemi
PAZ 213,CAD&Design Fun.for Prn.Textil.,Umut Kıvanç Şahin,Cuma,1430/1729,MKB / D376,14,40,STP,13649,2023 - 2024 Güz Dönemi
PAZ 217,Public Speaking,Pelin Gökalp Yılmazer,Cuma,0930/1229,MKB / D381A,6,40,"SMT, STP",15161,2023 - 2024 Güz Dönemi
PAZ 302,Hi Tech Textiles,"Ömer Berk Berkalp, Burçak Karagüzel Kayaoğlu",Cuma,1430/1729,MKB / D381A,6,40,STP,13652,2023 - 2024 Güz Dönemi
PAZ 381,Principles of Accounting,Kaya Tokmakçıoğlu,Salı,1330/1629,MKB / D381A,6,40,STP,13653,2023 - 2024 Güz Dönemi
