Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PET 113E,Intr.to Petr.&Nat Gas.Eng.,İbrahim Metin Mıhçakan,Çarşamba,1430/1529,MDB / A102,83,100,"PET, PETE, PETM",12290,2023 - 2024 Güz Dönemi
PET 211E,Petroleum Fluid Properties,Şenol Yamanlar,Salı,0830/1129,MDB / A105,78,100,"PET, PETE, PETM",12301,2023 - 2024 Güz Dönemi
PET 309E,Fluid and Rock Properties Lab.,Yıldıray Palabıyık,Pazartesi,1130/1329,MDB / ---,18,18,"PET, PETE, PETM",12304,2023 - 2024 Güz Dönemi
PET 309E,Fluid and Rock Properties Lab.,Yıldıray Palabıyık,Salı,1130/1329,MDB / ---,17,18,"PET, PETE, PETM",12307,2023 - 2024 Güz Dönemi
PET 309E,Fluid and Rock Properties Lab.,Yıldıray Palabıyık,Perşembe,1130/1329,MDB / A301,17,18,"PET, PETE, PETM",12308,2023 - 2024 Güz Dönemi
PET 309E,Fluid and Rock Properties Lab.,Yıldıray Palabıyık,Cuma,0930/1129,MDB / A301,14,18,"PET, PETE, PETM",12309,2023 - 2024 Güz Dönemi
PET 333E,Drilling Engineering,Gürşat Altun,Pazartesi,1330/1629,MDB / A101,54,100,"PET, PETE, PETM",12311,2023 - 2024 Güz Dönemi
PET 335E,Well Logging I,Emine Didem Korkmaz Başel,Salı,1330/1629,MDB / A101,80,100,"PET, PETE, PETM",12313,2023 - 2024 Güz Dönemi
PET 342E,Reservoir Engineering,Ömer İnanç Türeyen,Perşembe,1330/1629,MDB / A105,69,100,"PET, PETE, PETM",12315,2023 - 2024 Güz Dönemi
PET 409E,Well Design and Completions,Gürşat Altun,Pazartesi,0830/1129,MDB / A202,65,100,"PET, PETE, PETM",12318,2023 - 2024 Güz Dönemi
PET 412E,Petroleum& Natural Gas Eco.,Gürşat Altun,Salı,0830/1129,MDB / A101,73,100,"PET, PETE, PETM",12321,2023 - 2024 Güz Dönemi
PET 416E,Well Logging II,Emine Didem Korkmaz Başel,Perşembe,1330/1629,MDB / B205,9,40,"PET, PETE, PETM",12323,2023 - 2024 Güz Dönemi
PET 428E,Simulation of Geosystems,--,Perşembe,0830/1129,MDB / ---,0,0,"PET, PETE, PETM",12327,2023 - 2024 Güz Dönemi
PET 441E,Enhanced Oil Recovery,Hasan Özgür Yıldız,Çarşamba,0830/1129,MDB / B205,32,40,"PET, PETE, PETM",12365,2023 - 2024 Güz Dönemi
PET 447E,Selected Topics in PE,İsmail Hakkı Gücüyener,Perşembe,0930/1229,MDB / B208,23,50,"PET, PETE, PETM",13138,2023 - 2024 Güz Dönemi
PET 457E,Individual Study,--,"Pazartesi
Salı","1130/1329
1230/1329","MDB
MDB / ---
---",0,0,"PET, PETE, PETM",15204,2023 - 2024 Güz Dönemi
PET 467E,Anly. of Well Pressure Tests,Yıldıray Palabıyık,Salı,1330/1629,MDB / B206,29,30,"PET, PETE, PETM",12366,2023 - 2024 Güz Dönemi
PET 487E,Petroleum Fuels Market&Segment,Hamit Topuz,Pazartesi,1330/1629,MDB / A201,40,40,"PET, PETE, PETM",11514,2023 - 2024 Güz Dönemi
PET 4901E,Petr. & Nat. Gas Eng. Design I,Ömer İnanç Türeyen,----,/,MDB / ---,52,500,"PET, PETE, PETM",12367,2023 - 2024 Güz Dönemi
