Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DUI 102E,Introduction to Navigation,Elif Bal Beşikçi,Monday,08:30/11:29,DZB / --,48,80,DUI_LS,24229,2024 - 2025 Bahar Dönemi
DUI 102E,Introduction to Navigation,Elif Bal Beşikçi,Tuesday,14:30/17:29,DZB / --,22,80,DUI_LS,24230,2024 - 2025 Bahar Dönemi
DUI 102E,Introduction to Navigation,Elif Bal Beşikçi,Tuesday / Tuesday,12:30/14:29 / 17:30/18:29,DZB / DZB / -- / --,48,60,MTM_LS,24614,2024 - 2025 Bahar Dönemi
DUI 103E,Seamanship,Furkan Gümüş,Thursday,08:30/12:29,DZB / --,24,50,MMD_LS,24699,2024 - 2025 Bahar Dönemi
DUI 112E,Watchkeeping I,Oğuzhan Gürel,Wednesday,09:30/11:29,DZB / --,31,85,DUI_LS,24255,2024 - 2025 Bahar Dönemi
DUI 112E,Watchkeeping I,Oğuzhan Gürel,Wednesday,11:30/13:29,DZB / --,32,85,DUI_LS,24258,2024 - 2025 Bahar Dönemi
DUI 112E,Watchkeeping I,Oğuzhan Gürel,Monday,10:30/12:29,DZB / --,12,30,MTM_LS,24615,2024 - 2025 Bahar Dönemi
DUI 112E,Watchkeeping I,Selim Aksoy,Tuesday,10:30/12:29,DZB / --,40,45,MTM_LS,24616,2024 - 2025 Bahar Dönemi
DUI 208E,Cargo&Crew Safety,Tanzer Satır,Monday,08:30/10:29,DZB / --,26,75,DUI_LS,24304,2024 - 2025 Bahar Dönemi
DUI 208E,Cargo&Crew Safety,Tanzer Satır,Monday,15:30/17:29,DZB / --,52,75,DUI_LS,24305,2024 - 2025 Bahar Dönemi
DUI 208E,Cargo&Crew Safety,Tanzer Satır,Tuesday,11:30/13:29,DZB / --,38,60,MTM_LS,24638,2024 - 2025 Bahar Dönemi
DUI 213E,Ship Constrct.and Stability,Emre Kahramanoğlu,Tuesday,10:30/13:29,DZB / --,18,20,DUI_LS,25059,2024 - 2025 Bahar Dönemi
DUI 214,Astronomi,Orhan Gönel,Tuesday,15:30/17:29,DZB / --,18,75,DUI_LS,24302,2024 - 2025 Bahar Dönemi
DUI 214,Astronomi,Orhan Gönel,Wednesday,13:30/15:29,DZB / --,74,75,DUI_LS,24303,2024 - 2025 Bahar Dönemi
DUI 214E,Astronomy,Orhan Gönel,Friday,08:30/10:29,DZB / --,46,60,MTM_LS,24636,2024 - 2025 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Oğuzhan Gürel,Tuesday,10:30/12:29,DZB / --,10,30,DUI_LS,24284,2024 - 2025 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Oğuzhan Gürel,Tuesday,08:30/10:29,DZB / --,27,30,DUI_LS,24286,2024 - 2025 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Alaaddin Yıldıray Ertaş,Tuesday,08:30/10:29,DZB / --,25,30,DUI_LS,24288,2024 - 2025 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Alaaddin Yıldıray Ertaş,Tuesday,10:30/12:29,DZB / --,11,30,DUI_LS,24290,2024 - 2025 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Alaaddin Yıldıray Ertaş,Tuesday,13:30/15:29,DZB / --,17,30,DUI_LS,24292,2024 - 2025 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,"Alaaddin Yıldıray Ertaş , / Emre Düzenli",Tuesday,15:30/17:29,DZB / --,25,60,MTM_LS,24630,2024 - 2025 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,"Oğuzhan Gürel , / Emre Düzenli",Tuesday,13:30/15:29,DZB / --,32,60,MTM_LS,24631,2024 - 2025 Bahar Dönemi
DUI 232,Gemi Elektroniği,Zuhal Er,Tuesday,08:30/10:29,DZB / --,11,50,DUI_LS,24299,2024 - 2025 Bahar Dönemi
DUI 232,Gemi Elektroniği,Zuhal Er,Tuesday,10:30/12:29,DZB / --,10,75,DUI_LS,24300,2024 - 2025 Bahar Dönemi
DUI 232,Gemi Elektroniği,Melek Ertogan,Monday,13:30/15:29,DZB / --,54,65,DUI_LS,24301,2024 - 2025 Bahar Dönemi
DUI 251E,Meteorology,Ayşe Nak,Thursday,14:30/17:29,DZB / --,10,40,MTM_LS,25142,2024 - 2025 Bahar Dönemi
DUI 392E,Long Term SeaTraining(6Months),Gizem Kayişoğlu,-,-/-,- / -,6,150,"DUI_LS, SDU_LS",24332,2024 - 2025 Bahar Dönemi
DUI 393E,Long Term SeaTraining(6Months),Gizem Kayişoğlu,-,-/-,- / -,73,150,DUI_LS,24311,2024 - 2025 Bahar Dönemi
DUI 393E,Long Term SeaTraining(6Months),Selim Aksoy,-,-/-,- / -,27,60,MTM_LS,24654,2024 - 2025 Bahar Dönemi
DUI 402,Deniz Hukuku II,Hakan Muran,Thursday,08:30/11:29,DZB / --,34,45,DUI_LS,24318,2024 - 2025 Bahar Dönemi
DUI 402,Deniz Hukuku II,Hakan Muran,Thursday,11:30/14:29,DZB / --,63,70,DUI_LS,24319,2024 - 2025 Bahar Dönemi
DUI 402,Deniz Hukuku II,Hakan Muran,Thursday,14:30/17:29,DZB / --,9,45,DUI_LS,24320,2024 - 2025 Bahar Dönemi
DUI 407E,Cargo Handl and Stowage,Tanzer Satır,Wednesday,12:30/15:29,DZB / --,7,10,DUI_LS,25058,2024 - 2025 Bahar Dönemi
DUI 461E,Ship Surveying Procedures,Fırat Bolat,Monday,12:30/14:29,DZB / --,41,60,"MEN_LS, MTM_LS, NAE_LS",25109,2024 - 2025 Bahar Dönemi
DUI 472,Oşinografi,Ayşe Nak,Wednesday,11:30/13:29,DZB / --,35,40,DUI_LS,24312,2024 - 2025 Bahar Dönemi
DUI 472,Oşinografi,Ayşe Nak,Wednesday,13:30/15:29,DZB / --,26,40,DUI_LS,24313,2024 - 2025 Bahar Dönemi
DUI 472,Oşinografi,Ayşe Nak,Wednesday,09:30/11:29,DZB / --,11,40,DUI_LS,24314,2024 - 2025 Bahar Dönemi
