Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EEF 110E,Intr. to Prog. Language (C),Sıddık Murat Yeşiloğlu,Friday / Friday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,79,80,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21975,2024 - 2025 Bahar Dönemi
EEF 110E,Intr. to Prog. Language (C),Deniz Türkpençe,Friday / Friday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,80,80,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21976,2024 - 2025 Bahar Dönemi
EEF 110E,Intr. to Prog. Language (C),Yusuf Yaşa,Friday / Friday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,59,80,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21977,2024 - 2025 Bahar Dönemi
EEF 110E,Intr. to Prog. Language (C),Aydın Tarık Zengin,Tuesday / Tuesday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,83,95,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21978,2024 - 2025 Bahar Dönemi
EEF 110E,Intr. to Prog. Language (C),Emre Dincel,Tuesday / Tuesday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,94,95,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21979,2024 - 2025 Bahar Dönemi
EEF 110E,Intr. to Prog. Language (C),-,Tuesday / Tuesday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,0,0,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21980,2024 - 2025 Bahar Dönemi
EEF 110E,Intr. to Prog. Language (C),Bora Döken,Wednesday / Wednesday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,78,95,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21981,2024 - 2025 Bahar Dönemi
EEF 110E,Intr. to Prog. Language (C),-,Wednesday / Wednesday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,0,0,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21982,2024 - 2025 Bahar Dönemi
EEF 110E,Intr. to Prog. Language (C),Ali Bahadır,Wednesday / Wednesday,08:30/10:29 / 10:30/11:29,EEB / EEB / -- / --,100,100,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, ROS_LS, ROSE_LS",21983,2024 - 2025 Bahar Dönemi
EEF 206,İşaret İşleme ve Lineer Sist.,Kemal Uçak,Wednesday / Thursday,10:30/12:29 / 12:30/14:29,EEB / EEB / 5302 / 5302,99,100,"EHB_LS, ELK_LS, KOM_LS",21984,2024 - 2025 Bahar Dönemi
EEF 206,İşaret İşleme ve Lineer Sist.,Bilge Günsel,Wednesday / Thursday,10:30/12:29 / 12:30/14:29,EEB / EEB / 5304 / 5304,100,100,"EHB_LS, ELK_LS, KOM_LS",21985,2024 - 2025 Bahar Dönemi
EEF 206,İşaret İşleme ve Lineer Sist.,Emine Ayaz,Wednesday / Thursday,10:30/12:29 / 12:30/14:29,EEB / EEB / 4102 / 5303,58,100,"EHB_LS, ELK_LS, KOM_LS",21986,2024 - 2025 Bahar Dönemi
EEF 206,İşaret İşleme ve Lineer Sist.,Işın Erer,Wednesday / Thursday,10:30/12:29 / 12:30/14:29,EEB / EEB / 5102 / 5102,101,100,"EHB_LS, ELK_LS, KOM_LS",21987,2024 - 2025 Bahar Dönemi
EEF 206E,Signal Processing&Linear Syst.,Mustafa Doğan,Wednesday / Thursday,10:30/12:29 / 12:30/14:29,EEB / EEB / 5202 / 5202,114,105,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS",21988,2024 - 2025 Bahar Dönemi
