Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAD 205,Mineraloji ve Petrografi,Fatma Gülmez Yıldırım,-,-/-,- / -,0,0,-,25341,2024 - 2025 Bahar Dönemi
MAD 213,Maden Üretim Teknolojisi,Emre Avunduk,-,-/-,- / -,1,0,-,25332,2024 - 2025 Bahar Dönemi
MAD 243,Yeraltı Maden İşletmeciliği,Muhammet Mustafa Kahraman,Monday,11:30/14:29,MDB / A105,85,90,"MAD_LS, MAD_YD",21622,2024 - 2025 Bahar Dönemi
MAD 254E,Strngth of Mat.for Mining Eng.,Pınar Teymür,Tuesday,15:30/17:29,INB / A104,59,60,"MAD_LS, MADE_LS",24514,2024 - 2025 Bahar Dönemi
MAD 302E,Mining and Environment,Türker Hüdaverdi,Wednesday,08:30/10:29,MDB / A201,48,55,"MAD_LS, MADE_LS",21623,2024 - 2025 Bahar Dönemi
MAD 304E,Drilling Techniques,Hasan Ergin,Tuesday,08:30/11:29,MDB / A202,46,60,"MAD_LS, MADE_LS",21632,2024 - 2025 Bahar Dönemi
MAD 308,Cevher Hazırlama II,Alim Gül,Wednesday / Thursday,11:30/12:29 / 11:30/13:29,MDB / MDB / B204 / A102,62,70,MAD_LS,21631,2024 - 2025 Bahar Dönemi
MAD 314,Topoğrafya,Adil Enis Arslan,Thursday,13:30/17:29,INB / A201,62,70,MAD_LS,21388,2024 - 2025 Bahar Dönemi
MAD 322E,Dsgn of Sup in Mines & Tunnels,Hakan Tunçdemir,Monday,11:30/14:29,MDB / B207,49,60,"MAD_LS, MAD_YD",21634,2024 - 2025 Bahar Dönemi
MAD 327,Madenlerde Ulaşım ve Su Atımı,Cemal Balcı,-,-/-,- / -,0,0,-,25342,2024 - 2025 Bahar Dönemi
MAD 342E,Hydraulic Power Sys in Mining,Deniz Tumaç,Tuesday,11:30/13:29,MDB / A105,58,70,"MAD_LS, MADE_LS",21647,2024 - 2025 Bahar Dönemi
MAD 406,Madenlerde İş Sağlığı ve Güv.,Abdullah Fişne,Tuesday,13:30/15:29,MDB / A201,60,50,MAD_LS,21648,2024 - 2025 Bahar Dönemi
MAD 422E,Mine Planing and Design,Cüneyt Atilla Öztürk,Friday,14:00/17:59,MDB / A204,46,55,MAD_LS,21649,2024 - 2025 Bahar Dönemi
MAD 432,Maden. ve Tünellerde Kazı Mek.,"Hanifi Çopur , / Cemal Balcı",Friday,08:30/11:29,MDB / A201,53,65,MAD_LS,21650,2024 - 2025 Bahar Dönemi
MAD 434,Maden Hukuku,"Mahmut Kabakcı , / Mahmut Alper Kılıç",Tuesday,15:30/17:29,MDB / A201,51,60,MAD_LS,21822,2024 - 2025 Bahar Dönemi
MAD 436,Maden Ekonomisi,Cüneyt Atilla Öztürk,Thursday,08:30/10:29,MDB / A102,60,80,MAD_LS,21651,2024 - 2025 Bahar Dönemi
MAD 438E,Tunneling,"Hanifi Çopur , / Deniz Tumaç",Tuesday,08:30/10:29,MDB / A201,40,60,"MAD_LS, MAD_YD",21652,2024 - 2025 Bahar Dönemi
MAD 446E,Computer Aided Mine Design,Kürşat Hasözdemir,Wednesday,08:30/11:29,MDB / A301,14,14,"MAD_LS, MAD_YD, MADE_LS",21655,2024 - 2025 Bahar Dönemi
MAD 446E,Computer Aided Mine Design,Kürşat Hasözdemir,Thursday,13:30/16:29,MDB / B205,14,14,"MAD_LS, MAD_YD, MADE_LS",21656,2024 - 2025 Bahar Dönemi
MAD 467,Jeoloji Haritaları,Ufuk Tarı,Monday,08:30/11:29,MDB / A301,17,30,MAD_LS,21653,2024 - 2025 Bahar Dönemi
MAD 4901,Maden Müh.Tasarım Projesi I,Türker Hüdaverdi,-,-/-,- / -,9,500,MAD_LS,21658,2024 - 2025 Bahar Dönemi
MAD 4902,Maden Müh.Tasarım Projesi II,Türker Hüdaverdi,-,-/-,- / -,41,500,MAD_LS,21660,2024 - 2025 Bahar Dönemi
MAD 492,Bitirme Çalışması,Türker Hüdaverdi,-,-/-,- / -,2,500,MAD_LS,21662,2024 - 2025 Bahar Dönemi
