Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MMD 204E,Maritime Law,Cavit Memişoğlu,Friday,09:30/12:29,MED / A34,20,50,MMD_LS,24700,2024 - 2025 Bahar Dönemi
MMD 206E,Cargo Operations,Furkan Gümüş,Monday,12:30/14:29,DZB / --,20,50,MMD_LS,24709,2024 - 2025 Bahar Dönemi
MMD 208E,İnternational Trade Policies,Ayşe Aylin Bayar,Tuesday,14:30/17:29,MSB / 203,24,50,MMD_LS,24711,2024 - 2025 Bahar Dönemi
MMD 244E,Macroeconomics,Ayşe Aylin Bayar,Wednesday,09:30/12:29,ISB / 210,30,50,MMD_LS,24697,2024 - 2025 Bahar Dönemi
MMD 302E,Brokering and Chartering,Gökalp Tahmaz,Thursday,15:30/17:29,MED / A35,17,50,MMD_LS,24715,2024 - 2025 Bahar Dönemi
MMD 304E,Maritime Insurance Law,Metin Uğur AYTEKİN,Tuesday,11:30/14:29,MED / A35,9,50,MMD_LS,24718,2024 - 2025 Bahar Dönemi
MMD 306E,Strategic Management,Pelin Bolat,Monday,14:30/16:29,DZB / --,6,50,MMD_LS,24719,2024 - 2025 Bahar Dönemi
MMD 310E,Logistics Information System,Fırat Bolat,Wednesday / Wednesday,08:30/10:29 / 13:30/14:29,DZB / DZB / -- / --,6,50,MMD_LS,24722,2024 - 2025 Bahar Dönemi
MMD 318E,Navigation and Meteorology,Furkan Gümüş,Monday,16:30/17:29,DZB / --,21,50,MMD_LS,24720,2024 - 2025 Bahar Dönemi
MMD 320E,E-Commerce,Muhittin Orhan,Monday,08:30/11:29,DZB / --,3,50,MMD_LS,24724,2024 - 2025 Bahar Dönemi
MMD 321E,Quality Management in Maritime,Ahmet Yaşar Canca,Thursday,08:30/11:29,MED / A35,4,50,MMD_LS,24725,2024 - 2025 Bahar Dönemi
MMD 322E,Innovation & Entrepreneurship,"Özcan Arslan , / Gizem Çevik",Friday,09:30/12:29,DZB / --,4,50,MMD_LS,24726,2024 - 2025 Bahar Dönemi
MMD 323E,Ship Insurance Law,Metin Uğur AYTEKİN,Tuesday,08:30/11:29,MED / A31,5,50,MMD_LS,24727,2024 - 2025 Bahar Dönemi
MMD 324E,Advanced Statistics,-,Monday,11:30/14:29,DZB / --,0,0,MMD_LS,24728,2024 - 2025 Bahar Dönemi
MMD 326E,Inter. Relationship&Politics,-,Wednesday,10:30/13:29,DZB / --,0,0,MMD_LS,24729,2024 - 2025 Bahar Dönemi
MMD 424E,Shipping Law,Cavit Memişoğlu,Friday,14:00/16:59,MED / A13,23,50,MMD_LS,24704,2024 - 2025 Bahar Dönemi
