Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Yüksel Çakır,Monday,18:30/20:29,MED / --,4,4,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",20004,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Ata Bilgili,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SDU_LS, SEK_LS, SEN_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",20006,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Canan Sarıçam,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",25537,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Cevza Candan,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",25538,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Deniz Turgay Altılar,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",25539,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Emine Yaylalı,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",25540,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Esra Çapanoğlu Güven,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",25541,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Esra Ece Bayat,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",25542,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,Hatice Camgöz Akdağ,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",25543,2024 - 2025 Bahar Dönemi
ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,İbrahim Volkan Kumbaracı,Monday,18:30/20:29,MED / --,6,6,"MBI_LS, SBL_LS, SCE_LS, SEK_LS, SEN_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",25544,2024 - 2025 Bahar Dönemi
