Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GEO 108E,Fundamentals of Programming,Volkan Özbey,Wednesday / Wednesday,08:30/09:29 / 10:30/12:29,INB / INB / -- / --,0,40,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22323,2025 - 2026 Bahar Dönemi
GEO 108E,Fundamentals of Programming,Hasan Tonbul,Wednesday / Wednesday,08:30/09:29 / 10:30/12:29,INB / INB / -- / --,0,40,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22326,2025 - 2026 Bahar Dönemi
GEO 108E,Fundamentals of Programming,Muhammed Enes Atik,Wednesday,12:30/15:29,INB / --,0,50,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22347,2025 - 2026 Bahar Dönemi
GEO 114,Yersel Ölçme Don. Ve Yaz.,Serdar Erol,Thursday,08:30/11:29,INB / --,0,40,"GEO_LS, HTA_LS",22353,2025 - 2026 Bahar Dönemi
GEO 114E,Terr. Surv. Equip. and Soft.,Ramazan Alper Kuçak,Thursday,08:30/11:29,INB / --,0,40,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22358,2025 - 2026 Bahar Dönemi
GEO 114E,Terr. Surv. Equip. and Soft.,Turan Erden,Thursday,11:30/14:29,INB / --,0,40,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22366,2025 - 2026 Bahar Dönemi
GEO 182E,Geomatics Project I,Himmet Karaman,Friday / Friday,08:30/11:29 / 14:30/17:29,INB / INB / -- / --,0,20,"GEO_LS, GEOE_LS",22369,2025 - 2026 Bahar Dönemi
GEO 203,Koord. Sist. Ve Jeodezi I,Serdar Erol,Wednesday,08:30/12:29,INB / --,0,40,"GEO_LS, HTA_LS",23649,2025 - 2026 Bahar Dönemi
GEO 203E,Coordinate Sys. and Geodesy I,Volkan Özbey,Monday,08:30/12:29,INB / --,0,40,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22334,2025 - 2026 Bahar Dönemi
GEO 204,Hata Teo ve Dengeleme,Orhan Akyılmaz,Thursday,13:30/17:29,INB / --,0,70,"GEO_LS, HTA_LS",22372,2025 - 2026 Bahar Dönemi
GEO 204E,Th.of Err. And Ad. C.,Mustafa Tevfik Özlüdemir,Monday,13:30/17:29,INB / --,0,70,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22378,2025 - 2026 Bahar Dönemi
GEO 208,Uzaktan Algılama I,Şinasi Kaya,Monday,10:30/12:29,INB / --,0,30,"GEO_LS, HTA_LS",22383,2025 - 2026 Bahar Dönemi
GEO 208,Uzaktan Algılama I,Çiğdem Göksel,Monday,10:30/12:29,INB / --,0,30,"GEO_LS, HTA_LS",22386,2025 - 2026 Bahar Dönemi
GEO 208E,Remote Sensing I,Ayşe Filiz Sunar,Thursday,15:30/17:29,INB / --,0,30,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22393,2025 - 2026 Bahar Dönemi
GEO 208E,Remote Sensing I,Uğur Algancı,Thursday,15:30/17:29,INB / --,0,30,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22400,2025 - 2026 Bahar Dönemi
GEO 210,Yükseklik Ölçmeleri,Hasan Hakan Yavaşoğlu,Tuesday,15:30/17:29,INB / --,0,60,"GEO_LS, HTA_LS",22409,2025 - 2026 Bahar Dönemi
GEO 210E,Fundamentals of Levelling,"Mahmut Oğuz Selbesoğlu , / Mustafa Fahri Karabulut",Thursday,13:30/15:29,INB / --,0,60,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",22421,2025 - 2026 Bahar Dönemi
GEO 212,Mühendislik Ölçmeleri,"Mustafa Yanalak , / Mehmet İşiler",Monday,13:30/16:29,INB / --,0,60,"GEO_LS, HTA_LS",22427,2025 - 2026 Bahar Dönemi
