Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GMI 115,Bilgisayar Dest. Teknik Resim,Emre Kahramanoğlu,Wednesday,08:30/11:29,DZB / --,0,25,-,23343,2025 - 2026 Bahar Dönemi
GMI 115,Bilgisayar Dest. Teknik Resim,Emre Kahramanoğlu,Wednesday,12:30/15:29,DZB / --,0,25,GMI_LS,23392,2025 - 2026 Bahar Dönemi
GMI 132E,Numerical Analy. of Eng.Syst.,Ata Bilgili,Thursday,11:30/13:29,DZB / --,0,65,GMI_LS,23445,2025 - 2026 Bahar Dönemi
GMI 171E,Maritime English I,Müjgan Özenir,Tuesday,10:30/12:29,DZB / --,0,20,GMI_LS,23292,2025 - 2026 Bahar Dönemi
GMI 171E,Maritime English I,Müjgan Özenir,Tuesday,13:30/15:29,DZB / --,0,20,GMI_LS,23301,2025 - 2026 Bahar Dönemi
GMI 171E,Maritime English I,Müjgan Özenir,Wednesday,10:30/12:29,DZB / --,0,20,GMI_LS,23364,2025 - 2026 Bahar Dönemi
GMI 209,Bilg. Destekli Katı Modelleme,Emre Kahramanoğlu,Thursday,15:30/17:29,DZB / --,0,20,GMI_LS,23617,2025 - 2026 Bahar Dönemi
GMI 210,Titreşimin Temelleri,İsmail Çiçek,Tuesday,15:30/17:29,DZB / --,0,25,GMI_LS,23339,2025 - 2026 Bahar Dönemi
GMI 213,Termodinamik,Veysi Başhan,Tuesday,10:30/13:29,DZB / --,0,30,GMI_LS,23300,2025 - 2026 Bahar Dönemi
GMI 213,Termodinamik,Yalçın Durmuşoğlu,Thursday,12:30/15:29,DZB / --,0,30,GMI_LS,23613,2025 - 2026 Bahar Dönemi
GMI 214,Hidrolik ve Pnömatik,Çağlar Karatuğ,Monday,11:30/14:29,DZB / --,0,60,GMI_LS,23246,2025 - 2026 Bahar Dönemi
GMI 223,Makine Elemanları,-,Tuesday,13:30/15:29,DZB / --,0,0,-,23304,2025 - 2026 Bahar Dönemi
GMI 225,Gemi Dizel Makineleri I,Burak Zincir,Monday,14:30/17:29,DZB / --,0,25,GMI_LS,23278,2025 - 2026 Bahar Dönemi
GMI 225,Gemi Dizel Makineleri I,Cengiz Deniz,Wednesday,12:30/15:29,DZB / --,0,25,GMI_LS,23380,2025 - 2026 Bahar Dönemi
GMI 228,Temel Elektronik,Tayfun Uyanık,Monday,08:30/10:29,DZB / --,0,60,GMI_LS,23231,2025 - 2026 Bahar Dönemi
GMI 243,Denizel Çevre Kimyası,Emrah Şık,Friday,14:30/17:29,DZB / --,0,30,GMI_LS,23625,2025 - 2026 Bahar Dönemi
GMI 256,Elektroteknik,Tayfun Uyanık,Thursday,08:30/11:29,DZB / --,0,60,GMI_LS,23418,2025 - 2026 Bahar Dönemi
GMI 261E,Fluid Mechanics,Ata Bilgili,Wednesday,08:30/11:29,DZB / --,0,55,GMI_LS,23347,2025 - 2026 Bahar Dönemi
GMI 393E,Long Term Sea Training (6 ay),İsmail Çiçek,-,-/-,- / -,0,150,GMI_LS,23641,2025 - 2026 Bahar Dönemi
GMI 462,Buhar & Gaz Türbinleri Operas.,Yalçın Durmuşoğlu,Tuesday,13:30/15:29,DZB / --,0,75,GMI_LS,23302,2025 - 2026 Bahar Dönemi
GMI 474E,Quality&Safety Management Sys.,Metin Çelik,Thursday,08:30/10:29,DZB / --,0,20,GMI_LS,23428,2025 - 2026 Bahar Dönemi
GMI 481E,Marine Insurance,Arda Özkan,Wednesday,12:30/14:29,DZB / --,0,30,GMI_LS,23372,2025 - 2026 Bahar Dönemi
GMI 484E,Engine Room Simulator (ERS) II,İsmail Çiçek,Monday,08:30/11:29,DZB / --,0,16,GMI_LS,23238,2025 - 2026 Bahar Dönemi
GMI 484E,Engine Room Simulator (ERS) II,Samet Biçen,Monday,14:30/17:29,DZB / --,0,16,GMI_LS,23280,2025 - 2026 Bahar Dönemi
GMI 484E,Engine Room Simulator (ERS) II,Samet Biçen,Wednesday,08:30/11:29,DZB / --,0,16,GMI_LS,23354,2025 - 2026 Bahar Dönemi
GMI 484E,Engine Room Simulator (ERS) II,Samet Biçen,Wednesday,12:30/15:29,DZB / --,0,16,GMI_LS,23388,2025 - 2026 Bahar Dönemi
GMI 485E,Envir.Manag.in Ship Operations,Kadir Çiçek,Thursday,10:30/12:29,DZB / --,0,20,GMI_LS,23440,2025 - 2026 Bahar Dönemi
GMI 486E,Shipping Finance,Sinan Çakır,Wednesday,09:30/11:29,DZB / --,0,30,GMI_LS,23357,2025 - 2026 Bahar Dönemi
GMI 488E,Surveying Procedures,Fırat Bolat,Thursday,12:30/14:29,DZB / --,0,25,GMI_LS,23453,2025 - 2026 Bahar Dönemi
GMI 4901,Gemi Mak. İşl. Müh. Tasarımı I,Çağlar Karatuğ,-,-/-,- / -,0,100,GMI_LS,23638,2025 - 2026 Bahar Dönemi
GMI 4902,Gemi Mak. İşl. Müh.Tasarımı II,Çağlar Karatuğ,-,-/-,- / -,0,100,GMI_LS,23639,2025 - 2026 Bahar Dönemi
GMI 492,Tasarım Projesi,Çağlar Karatuğ,-,-/-,- / -,0,100,GMI_LS,23636,2025 - 2026 Bahar Dönemi
GMI 492E,Design Project,Çağlar Karatuğ,-,-/-,- / -,0,100,GMI_LS,23634,2025 - 2026 Bahar Dönemi
