Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JEF 208E,Comp. Appl. in Geophy.,"Seda Yolsal Çevikbilen , / Neslihan Ocakoğlu Gökaşan , / Doğa Doğan",Tuesday,08:30/11:29,MDB / --,0,60,"JEF_LS, JEF_YD, JEFE_LS",22798,2025 - 2026 Bahar Dönemi
JEF 212E,Data Processing,Hüseyin Argun Kocaoğlu,Monday / Friday,10:30/12:29 / 14:30/16:29,MDB / MDB / -- / --,0,60,"JEF_LS, JEF_YD, JEFE_LS",22790,2025 - 2026 Bahar Dönemi
JEF 222,Arama Jeofiziğinin Temelleri,Caner İmren,Tuesday,13:30/17:29,MDB / --,0,60,"JEF_LS, JEF_YD",22805,2025 - 2026 Bahar Dönemi
JEF 322,Jeomanyetizma,Turgay İşseven,Friday,09:30/12:29,MDB / --,0,60,JEF_LS,22822,2025 - 2026 Bahar Dönemi
JEF 331,Elektromanyetik Prospeksiyon,"Ümit Avşar , / İsmail Kaplanvural",Wednesday,08:30/12:29,MDB / --,0,50,JEF_LS,22814,2025 - 2026 Bahar Dönemi
JEF 334,Sismik Prospeksiyon,Hülya Kurt,Monday,13:30/17:29,MDB / --,0,50,JEF_LS,22811,2025 - 2026 Bahar Dönemi
JEF 346,Jeofizikte Ölçmeler,"İsmail Kaplanvural , / İrem Elitez , / Nedim Gökhan Aydın",Thursday,13:30/17:29,MDB / --,0,60,"JEF_LS, JEF_YD",22807,2025 - 2026 Bahar Dönemi
JEF 360E,Geodynamics,Tuna Eken,Friday,14:30/16:29,MDB / --,0,20,"JEF_LS, JEF_YD, JEFE_LS",22847,2025 - 2026 Bahar Dönemi
JEF 361E,Marine Geophysics,Mustafa Emin Demirbağ,Tuesday,08:30/10:29,MDB / --,0,20,"JEF_LS, JEF_YD, JEFE_LS",22835,2025 - 2026 Bahar Dönemi
JEF 362E,Groundwater Exploration,Doğa Doğan,Friday,10:30/12:29,MDB / --,0,20,"JEF_LS, JEF_YD, JEFE_LS",22845,2025 - 2026 Bahar Dönemi
JEF 363E,Hydrocarbon Geophysics,Neslihan Ocakoğlu Gökaşan,Thursday,13:30/15:29,MDB / --,0,20,"JEF_LS, JEF_YD, JEFE_LS",22842,2025 - 2026 Bahar Dönemi
JEF 364E,Seismotectonics,Seda Yolsal Çevikbilen,Tuesday,13:30/15:29,MDB / --,0,20,"JEF_LS, JEF_YD, JEFE_LS",22826,2025 - 2026 Bahar Dönemi
JEF 366,Kuyu Jeofiziği,Ümit Avşar,Wednesday,13:30/15:29,MDB / --,0,20,"JEF_LS, JEF_YD",22864,2025 - 2026 Bahar Dönemi
JEF 368,Jeotermal Aramalar,Doğa Doğan,Wednesday,13:30/15:29,MDB / --,0,20,"JEF_LS, JEF_YD",22868,2025 - 2026 Bahar Dönemi
JEF 369E,Environmental Geophysics,Abdullah Karaman,Monday,08:30/10:29,MDB / --,0,20,"JEF_LS, JEF_YD, JEFE_LS",22852,2025 - 2026 Bahar Dönemi
JEF 370,Sismik Yorumlama,Hülya Kurt,Wednesday,10:30/12:29,MDB / --,0,20,"JEF_LS, JEF_YD",22832,2025 - 2026 Bahar Dönemi
JEF 371,Paleomanyetizma,Turgay İşseven,Friday,14:30/16:29,MDB / --,0,20,"JEF_LS, JEF_YD",22829,2025 - 2026 Bahar Dönemi
JEF 372,Arkeo-Jeofizik,Caner İmren,Friday,08:30/10:29,MDB / --,0,20,"JEF_LS, JEF_YD",22855,2025 - 2026 Bahar Dönemi
JEF 446E,Engineering Seismology,Hüseyin Argun Kocaoğlu,Thursday,08:30/11:29,MDB / --,0,50,"JEF_LS, JEFE_LS",22838,2025 - 2026 Bahar Dönemi
JEF 454E,Machine Learning in Geophysical Engineering,Yasir Bashir,Wednesday,10:30/12:29,MDB / --,0,30,"JEF_LS, JEF_YD, JEFE_LS",22860,2025 - 2026 Bahar Dönemi
JEF 4901,Jeofizik Müh.Tasarım Projesi I,Hülya Kurt,-,-/-,- / -,0,100,JEF_LS,22874,2025 - 2026 Bahar Dönemi
JEF 4901E,Geophysical Eng. Design Prj. I,Hülya Kurt,-,-/-,- / -,0,100,"JEF_LS, JEFE_LS",22880,2025 - 2026 Bahar Dönemi
JEF 4902,Jeofizik Müh.Tasarım Proje. II,Hülya Kurt,-,-/-,- / -,0,100,JEF_LS,22878,2025 - 2026 Bahar Dönemi
JEF 4902E,Geophysical Eng. Design Prj.II,Hülya Kurt,-,-/-,- / -,0,100,"JEF_LS, JEFE_LS",22883,2025 - 2026 Bahar Dönemi
JEF 492,Bitirme Çalışması,Hülya Kurt,-,-/-,- / -,0,100,JEF_LS,22869,2025 - 2026 Bahar Dönemi
JEF 492E,Graduation Project,Hülya Kurt,-,-/-,- / -,0,100,"JEF_LS, JEFE_LS",22871,2025 - 2026 Bahar Dönemi
