Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KIM 104,Organik Kimya,Okan Sirkecioğlu,Wednesday,12:30/15:29,KMB / D102,0,50,"GID_LS, KMM_LS",23316,2025 - 2026 Bahar Dönemi
KIM 104,Organik Kimya,Hacer Ayşen Önen,Wednesday,12:30/15:29,KMB / D103,0,50,"GID_LS, KMM_LS",23317,2025 - 2026 Bahar Dönemi
KIM 104,Organik Kimya,Nilgün Kızılcan,Wednesday,12:30/15:29,KMB / D104,0,50,"GID_LS, KMM_LS",23318,2025 - 2026 Bahar Dönemi
KIM 104,Organik Kimya,Yeşim Gürsel,Wednesday,12:30/15:29,KMB / D105,0,50,"GID_LS, KMM_LS",23320,2025 - 2026 Bahar Dönemi
KIM 104L,Organik Kimya Lab.,Yeşim Gürsel,Monday,13:30/15:29,FEB / LAB-D,0,40,"GID_LS, KMM_LS",23322,2025 - 2026 Bahar Dönemi
KIM 104L,Organik Kimya Lab.,Nilgün Kızılcan,Monday,13:30/15:29,FEB / LAB-G,0,40,"GID_LS, KMM_LS",23323,2025 - 2026 Bahar Dönemi
KIM 104L,Organik Kimya Lab.,Hacer Ayşen Önen,Monday,15:30/17:29,FEB / LAB-D,0,40,"GID_LS, KMM_LS",23324,2025 - 2026 Bahar Dönemi
KIM 104L,Organik Kimya Lab.,Okan Sirkecioğlu,Tuesday,13:30/15:29,FEB / LAB-D,0,40,"GID_LS, KMM_LS",23326,2025 - 2026 Bahar Dönemi
KIM 111,Genel Kimya I,Ayfer Kalkan Burat,Wednesday / Thursday,10:30/12:29 / 10:30/12:29,FEB / FEB / L400 / L400,0,40,KIM_LS,23327,2025 - 2026 Bahar Dönemi
KIM 111L,Genel Kimya I Lab,Ayfer Kalkan Burat,Monday,11:30/13:29,FEB / LAB-G,0,40,KIM_LS,23329,2025 - 2026 Bahar Dönemi
KIM 113,Kimyaya Giriş ve Etik,Mustafa Özcan,Tuesday,13:30/15:29,FEB / B3_Z01-Z03,0,50,KIM_LS,23337,2025 - 2026 Bahar Dönemi
KIM 114,Genel Kimya II,Esin Hamuryudan,Wednesday / Thursday,10:30/12:29 / 08:30/10:29,FEB / FEB / D205 / D101,0,40,"KIM_LS, KIM_YD",23338,2025 - 2026 Bahar Dönemi
KIM 114,Genel Kimya II,İsmail Yılmaz,Wednesday / Thursday,10:30/12:29 / 08:30/10:29,FEB / FEB / D304 / D203,0,40,"KIM_LS, KIM_YD",23341,2025 - 2026 Bahar Dönemi
KIM 114L,Genel Kimya II Lab.,Esin Hamuryudan,Friday,09:30/12:29,FEB / LAB-F,0,35,KIM_LS,23342,2025 - 2026 Bahar Dönemi
KIM 114L,Genel Kimya II Lab.,İsmail Yılmaz,Friday,09:30/12:29,FEB / LAB-E,0,35,KIM_LS,23344,2025 - 2026 Bahar Dönemi
