Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KMM 210E,Engineering Mathematics,Elif Öztürk Er,Monday / Friday,14:00/15:59 / 14:00/15:59,KMB / KMB / D103 / D103,0,50,KMM_LS,22879,2025 - 2026 Bahar Dönemi
KMM 220,Akışkanlar Mekaniği,Ayşe Banu Kocaağa,Monday / Thursday,09:30/11:29 / 11:30/12:29,KMB / KMB / D103 / D303,0,50,KMM_LS,22422,2025 - 2026 Bahar Dönemi
KMM 220,Akışkanlar Mekaniği,Nalan Erdöl Aydın,Monday / Thursday,09:30/11:29 / 11:30/12:29,KMB / KMB / D202 / D202,0,50,KMM_LS,22884,2025 - 2026 Bahar Dönemi
KMM 222E,Computati. Meth. in Chem. Eng.,Hüseyin Enis Karahan,Thursday / Friday / Friday,13:30/15:29 / 11:00/11:59 / 12:00/12:59,KMB / KMB / KMB / D304 / D204 / BIL.LAB.1,0,50,KMM_LS,22432,2025 - 2026 Bahar Dönemi
KMM 222E,Computati. Meth. in Chem. Eng.,Ahmet Sirkecioğlu,Thursday / Friday,13:30/15:29 / 11:00/12:59,KMB / KMB / D303 / D303,0,50,KMM_LS,22435,2025 - 2026 Bahar Dönemi
KMM 224,Kimya Müh.Termodinamiği,Reha Yavuz,Tuesday / Wednesday,09:00/10:59 / 09:00/11:59,KMB / KMB / D304 / D103,0,50,"KMM_LS, KMM_YD",22489,2025 - 2026 Bahar Dönemi
KMM 224,Kimya Müh.Termodinamiği,"Ayşegül Meriçboyu , / Melek Mümine Erol Taygun",Tuesday / Wednesday,09:00/10:59 / 09:00/11:59,KMB / KMB / D204 / D201,0,50,"KIM_YD, KMM_LS",22509,2025 - 2026 Bahar Dönemi
KMM 305E,Heat and Mass Transfer,Fatma Elif Genceli Güner,Monday / Tuesday,13:30/16:29 / 13:30/14:29,KMB / KMB / D302 / D202,0,30,"KMM_LS, KMM_YD",22511,2025 - 2026 Bahar Dönemi
KMM 308E,Chem Reac Eng,Ahmet Sirkecioğlu,Thursday / Friday,09:30/12:29 / 09:00/10:59,KMB / KMB / D302 / D204,0,50,"KMM_LS, KMM_YD",22783,2025 - 2026 Bahar Dönemi
KMM 308E,Chem Reac Eng,Hüseyin Enis Karahan,Thursday / Friday,09:30/12:29 / 09:00/10:59,KMB / KMB / D204 / D203,0,50,"KMM_LS, KMM_YD",22794,2025 - 2026 Bahar Dönemi
KMM 312E,Chemical Reaction Eng I,Alper Sarıoğlan,Thursday,09:30/12:29,KMB / --,0,1,"KMM_LS, KMM_YD",22935,2025 - 2026 Bahar Dönemi
KMM 332,Ayırma İşlemleri,Gülhayat Saygılı,Monday / Wednesday,10:30/12:29 / 10:30/12:29,KMB / KMB / D301 / D301,0,50,"KMM_LS, KMM_YD",22769,2025 - 2026 Bahar Dönemi
KMM 332,Ayırma İşlemleri,Ömer Şahin,Monday / Wednesday,10:30/12:29 / 10:30/12:29,KMB / KMB / D303 / D302,0,50,"KMM_LS, KMM_YD",22776,2025 - 2026 Bahar Dönemi
KMM 342E,Math Modelling in Chemical Eng,"Ayşe Özge Kürkçüoğlu Levitas , / Cemile Yerlikaya",Wednesday / Friday,13:30/15:29 / 15:00/15:59,KMB / KMB / D204 / D204,0,50,"KMM_LS, KMM_YD",22802,2025 - 2026 Bahar Dönemi
KMM 342E,Math Modelling in Chemical Eng,Ramazan Kızıl,Wednesday / Friday,13:30/15:29 / 15:00/15:59,KMB / KMB / D203 / D202,0,50,"KMM_LS, KMM_YD",22816,2025 - 2026 Bahar Dönemi
KMM 418E,Paper Technology,Ayşe Banu Kocaağa,Thursday,14:00/16:59,KMB / GZ102,0,15,KMM_LS,23073,2025 - 2026 Bahar Dönemi
KMM 424,Biyoteknolojik Uygulamalar,Fatoş Yüksel Güvenilir,Thursday,12:30/15:29,KMB / D204,0,15,"BIO_LS, KMM_LS",23107,2025 - 2026 Bahar Dönemi
KMM 424E,Biotechnological Applications,Ramazan Kızıl,Monday,10:30/13:29,KMB / D101,0,15,KMM_LS,22939,2025 - 2026 Bahar Dönemi
KMM 428,Özel Ayırma Yöntemleri,Nalan Erdöl Aydın,Thursday,08:30/11:29,KMB / D303,0,15,KMM_LS,23077,2025 - 2026 Bahar Dönemi
KMM 434,"Kalite,Çevre ve Güvenlik",Ahmet Alper Aydın,Monday,13:30/16:29,KMB / D301,0,35,"KMM_LS, KMM_YD",22890,2025 - 2026 Bahar Dönemi
KMM 434,"Kalite,Çevre ve Güvenlik",Nalan Erdöl Aydın,Monday,13:30/16:29,KMB / D204,0,35,"KMM_LS, KMM_YD",22894,2025 - 2026 Bahar Dönemi
KMM 446,Atık Yönetimi,Ömer Şahin,Tuesday,09:30/12:29,KMB / D101,0,15,KMM_LS,23152,2025 - 2026 Bahar Dönemi
KMM 448,Yakıt Kimyası ve Teknolojisi,Filiz Karaosmanoğlu,Tuesday,13:30/16:29,KMB / D305,0,15,KMM_LS,23111,2025 - 2026 Bahar Dönemi
KMM 453,Kimya Müh.Bilg.Dest.Tasarım,İlayda Nur Oksal,Tuesday,09:30/12:29,KMB / GZ104,0,15,KMM_LS,23150,2025 - 2026 Bahar Dönemi
KMM 455E,Optimization in Chemical Eng.,Devrim Barış Kaymak,Thursday,12:30/15:29,KMB / D101,0,15,KMM_LS,23160,2025 - 2026 Bahar Dönemi
KMM 461E,Introduction to Electrochemical Engineering,Mehmet Suha Yazıcı,Tuesday,09:30/12:29,KMB / GZ103,0,15,KMM_LS,23218,2025 - 2026 Bahar Dönemi
KMM 462,Kimya Mühendisliği Lab II,"Nalan Erdöl Aydın , / Ayşe Arifoğlu , / Cemile Yerlikaya",Tuesday,08:30/12:29,KMB / K407,0,40,KMM_LS,22900,2025 - 2026 Bahar Dönemi
KMM 462,Kimya Mühendisliği Lab II,"Nalan Erdöl Aydın , / Ayşe Arifoğlu , / Cemile Yerlikaya",Tuesday,13:00/16:59,KMB / K407,0,40,KMM_LS,22913,2025 - 2026 Bahar Dönemi
KMM 462,Kimya Mühendisliği Lab II,"Nalan Erdöl Aydın , / Ayşe Arifoğlu , / Cemile Yerlikaya",Friday,08:30/12:29,KMB / K407,0,40,KMM_LS,22914,2025 - 2026 Bahar Dönemi
