Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KON 218,Ölçme Tekniği ve Algılayıcılar,Yücel Aydın,Friday,08:30/12:29,EEB / 5202,0,70,-,21829,2025 - 2026 Bahar Dönemi
KON 218E,Measurement and Sensors,Onur Akbatı,Friday,08:30/12:29,EEB / 5204,0,70,"EHBE_LS, ELKE_LS, KOME_LS, MKN_LS",21830,2025 - 2026 Bahar Dönemi
KON 218E,Measurement and Sensors,Onur Akbatı,Thursday,08:30/12:29,EEB / 6309,0,70,"EEE_LS, EHBE_LS, ELKE_LS, KOME_LS",21831,2025 - 2026 Bahar Dönemi
KON 301E,System Modelling&Simulation,Abdurrahman Yılmaz,Monday,12:30/16:29,EEB / 5105,0,50,"KOM_LS, KOME_LS",21832,2025 - 2026 Bahar Dönemi
KON 306,Bilgisayar Kontrollü Sistemler,Ahmet Onat,Tuesday / Wednesday,15:30/17:29 / 12:30/14:29,EEB / EEB / 5102 / 5304,0,70,KOM_LS,21833,2025 - 2026 Bahar Dönemi
KON 306E,Computer Controlled Systems,Yaprak Yalçın,Tuesday / Wednesday,15:30/17:29 / 12:30/14:29,EEB / EEB / 5104 / 6309,0,70,"EEE_LS, KOM_LS, KOME_LS",21834,2025 - 2026 Bahar Dönemi
KON 313E,Feedback Control Systems,Kemal Uçak,Tuesday,12:30/15:29,EEB / 5302,0,70,"CEN_LS, EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, MKN_LS",21836,2025 - 2026 Bahar Dönemi
KON 313E,Feedback Control Systems,Farzad Hashemzadeh,Tuesday,12:30/15:29,EEB / 5304,0,70,"CEN_LS, EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, KOM_LS, KOME_LS, MKN_LS",21839,2025 - 2026 Bahar Dönemi
KON 314,Kontrol Sistem Tasarımı,Mehmet Turan Söylemez,Monday / Thursday,12:30/14:29 / 15:30/17:29,EEB / EEB / 2104 / 6307,0,70,KOM_LS,21843,2025 - 2026 Bahar Dönemi
KON 314E,Control System Design,İlker Üstoğlu,Monday / Friday,12:30/14:29 / 15:30/17:29,EEB / EEB / 2106 / 6307,0,70,"EEE_LS, KOM_LS, KOME_LS",21858,2025 - 2026 Bahar Dönemi
KON 315,Elektronik Enstrümantasyon,Yücel Aydın,Friday,14:00/17:59,EEB / 5202,0,50,KOM_LS,21862,2025 - 2026 Bahar Dönemi
KON 318E,Introduction to Robotics,Hakan Temeltaş,Tuesday,12:30/15:29,EEB / 6309,0,80,"KOM_LS, KOME_LS",21869,2025 - 2026 Bahar Dönemi
KON 324E,Sensors&Transducers in Contr.,Ali Fuat Ergenç,Thursday,12:30/15:29,EEB / 5205,0,50,"EEE_LS, KOM_LS, KOME_LS, MKN_LS",21872,2025 - 2026 Bahar Dönemi
KON 325E,Industrial Automation Systems,Yaprak Yalçın,Tuesday,12:30/15:29,EEB / 2104,0,80,"KOM_LS, KOME_LS",21877,2025 - 2026 Bahar Dönemi
KON 405E,State Space Meth.in Contr.Syst,Farzad Hashemzadeh,Friday,08:30/11:29,EEB / 5201,0,50,"KOM_LS, KOME_LS",21881,2025 - 2026 Bahar Dönemi
KON 421,Robot Kontrolü,Sıddık Murat Yeşiloğlu,Thursday,09:30/12:29,EEB / 5201,0,50,"KOM_LS, MKN_LS",21886,2025 - 2026 Bahar Dönemi
