Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAT 115E,Intro. to Programming Language,Evren Tanrıöver,Monday,08:30/12:29,FEB / OBL3,0,30,MAT_LS,23487,2025 - 2026 Bahar Dönemi
MAT 115E,Intro. to Programming Language,Evren Tanrıöver,Monday,13:30/17:29,FEB / OBL3,0,30,MAT_LS,23492,2025 - 2026 Bahar Dönemi
MAT 116E,Advanced Sci. & Eng. Computing,Burcu Tunga,Wednesday / Wednesday,08:30/10:29 / 10:30/12:29,FEB / FEB / OBL3 / OBL3,0,35,MAT_LS,23496,2025 - 2026 Bahar Dönemi
MAT 116E,Advanced Sci. & Eng. Computing,Burcu Tunga,Thursday / Thursday,13:30/15:29 / 15:30/17:29,FEB / FEB / OBL3 / OBL3,0,35,MAT_LS,23499,2025 - 2026 Bahar Dönemi
MAT 117,Matematik Müh. Giriş ve Etik,Sevgi Harman,Wednesday,13:30/15:29,FEB / D204,0,80,MAT_LS,23505,2025 - 2026 Bahar Dönemi
MAT 148E,Discrete Mathematics,Burak Yıldıran Stodolsky,Monday,13:30/16:29,YDY / 177,0,55,MAT_LS,23523,2025 - 2026 Bahar Dönemi
MAT 148E,Discrete Mathematics,Burak Yıldıran Stodolsky,Thursday,08:30/11:29,FEB / D304,0,55,MAT_LS,23526,2025 - 2026 Bahar Dönemi
MAT 185E,Mathematics I,Soner Aydınlık,Tuesday / Friday,14:30/17:29 / 14:00/15:59,FEB / FEB / D201 / D201,0,60,MAT_LS,23528,2025 - 2026 Bahar Dönemi
MAT 186,Matematik II,Nalan Antar,Tuesday / Friday,14:30/17:29 / 14:00/15:59,FEB / FEB / D104 / D104,0,60,MAT_LS,23533,2025 - 2026 Bahar Dönemi
MAT 202,Sayısal Yöntemler,Birgül Benli,Monday,14:30/17:29,MDB / --,0,60,"CEV_LS, CHZ_LS, CHZ_YD, MAD_LS, PET_LS",23047,2025 - 2026 Bahar Dönemi
MAT 202E,Numerical Methods,İhsan Burak Kulga,Tuesday,13:30/16:29,MDB / --,0,80,"PET_LS, PETE_LS",22784,2025 - 2026 Bahar Dönemi
