Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PEM 120E,Natural Systems &Design,Meltem Erdem Kaya,Wednesday,13:30/15:29,MMB / --,0,90,"PEM_LS, PEME_LS",24524,2025 - 2026 Bahar Dönemi
PEM 126E,Hist.Theo.&Crtc.in Lndsc.Arc.I,Nilay Özlü Karaca,Tuesday,09:30/12:29,MMB / --,0,90,"PEM_LS, PEME_LS",24525,2025 - 2026 Bahar Dönemi
PEM 134E,Plant Material I,Didem Dizdaroğlu,Tuesday,13:30/17:29,MMB / --,0,30,"PEM_LS, PEME_LS",24526,2025 - 2026 Bahar Dönemi
PEM 134E,Plant Material I,Didem Dizdaroğlu,Wednesday,08:30/12:29,MMB / --,0,30,"PEM_LS, PEME_LS",24527,2025 - 2026 Bahar Dönemi
PEM 209E,Landform & Built Envir.Studio,Nilay Özlü Karaca,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,10,"PEM_LS, PEME_LS",24529,2025 - 2026 Bahar Dönemi
PEM 210E,Planting Design Studio,Hayriye Eşbah Tunçay,Thursday,08:30/12:29,MMB / --,0,70,"PEM_LS, PEME_LS",24535,2025 - 2026 Bahar Dönemi
PEM 212E,Landscape Design I,Melih Bozkurt,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,9,"PEM_LS, PEME_LS",24530,2025 - 2026 Bahar Dönemi
PEM 212E,Landscape Design I,Arzu Türk,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,9,"PEM_LS, PEME_LS",24531,2025 - 2026 Bahar Dönemi
PEM 212E,Landscape Design I,Ebru Erbaş Gürler,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"PEM_LS, PEME_LS",24532,2025 - 2026 Bahar Dönemi
PEM 212E,Landscape Design I,Didem Dizdaroğlu,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"PEM_LS, PEME_LS",24533,2025 - 2026 Bahar Dönemi
PEM 214E,Resilient Urban Design,Melih Bozkurt,Tuesday,08:30/12:29,MMB / --,0,80,"PEM_LS, PEME_LS",24528,2025 - 2026 Bahar Dönemi
PEM 253E,Landscape Construction I,Hayriye Eşbah Tunçay,Tuesday,13:30/17:29,MMB / --,0,75,"PEM_LS, PEME_LS",24534,2025 - 2026 Bahar Dönemi
PEM 311E,Landscape Design II,Elif Lutfiye Kutay Karaçor,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,15,"PEM_LS, PEME_LS",24536,2025 - 2026 Bahar Dönemi
PEM 312E,Landscape Design III,Fatma Ayçim Türer Başkaya,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,15,"PEM_LS, PEME_LS",24537,2025 - 2026 Bahar Dönemi
PEM 312E,Landscape Design III,Gülşen Aytaç,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,15,"PEM_LS, PEME_LS",24538,2025 - 2026 Bahar Dönemi
PEM 312E,Landscape Design III,Meltem Erdem Kaya,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,15,"PEM_LS, PEME_LS",24539,2025 - 2026 Bahar Dönemi
PEM 316E,Urban Land. Pln& Design,Gülşen Aytaç,Monday,09:30/12:29,MMB / --,0,60,"PEM_LS, PEME_LS",24540,2025 - 2026 Bahar Dönemi
PEM 324E,Landscape Management,Fatma Ayçim Türer Başkaya,Thursday,10:30/12:29,MMB / --,0,60,"PEM_LS, PEME_LS",24541,2025 - 2026 Bahar Dönemi
PEM 356E,Rural Landscape Plan.&Design,Meltem Erdem Kaya,Wednesday,08:30/12:29,MMB / --,0,60,"PEM_LS, PEME_LS",24542,2025 - 2026 Bahar Dönemi
PEM 4011E,Environmental Aesthetics,Çisem Demirel Koyun,Tuesday,10:30/12:29,MMB / --,0,25,"PEM_LS, PEME_LS",24552,2025 - 2026 Bahar Dönemi
PEM 4014E,Dig.Repres.Tech.for Lands.Dsgn,Ikhwan Kım,Friday,14:00/16:59,MMB / --,0,25,"PEM_LS, PEME_LS",24545,2025 - 2026 Bahar Dönemi
PEM 4015E,Experim.Studies on Place&Desg,Arzu Türk,Monday,10:30/12:29,MMB / --,0,20,"PEM_LS, PEME_LS",24551,2025 - 2026 Bahar Dönemi
PEM 4016E,Infrastructure Planning&Dev.,Elif Lutfiye Kutay Karaçor,Tuesday,10:30/12:29,MMB / --,0,25,"PEM_LS, PEME_LS",24546,2025 - 2026 Bahar Dönemi
PEM 4018E,Landscape and Art,Gülşen Aytaç,Thursday,10:30/12:29,MMB / --,0,25,"PEM_LS, PEME_LS",24547,2025 - 2026 Bahar Dönemi
PEM 4024E,Readings About National Landscape Architecture,Çisem Demirel Koyun,Wednesday,13:30/15:29,MMB / --,0,25,"PEM_LS, PEME_LS",24553,2025 - 2026 Bahar Dönemi
PEM 406E,Professional Practice & Ethics,"Ebru Erbaş Gürler , / Arzu Türk",Tuesday,13:30/15:29,MMB / --,0,50,"PEM_LS, PEME_LS",24544,2025 - 2026 Bahar Dönemi
PEM 411E,Landscape Design IV,Ikhwan Kım,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,20,"PEM_LS, PEME_LS",24543,2025 - 2026 Bahar Dönemi
PEM 4902E,Graduation Project,Meltem Erdem Kaya,-,-/-,- / -,0,50,"PEM_LS, PEME_LS",24548,2025 - 2026 Bahar Dönemi
PEM 4902E,Graduation Project,Meltem Erdem Kaya,-,-/-,- / -,0,50,"PEM_LS, PEME_LS",24549,2025 - 2026 Bahar Dönemi
PEM 4902E,Graduation Project,Meltem Erdem Kaya,-,-/-,- / -,0,50,"PEM_LS, PEME_LS",24550,2025 - 2026 Bahar Dönemi
