Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
YZV 102E,Int.toPrg.forDataSci.(Python),Tuğçe Bilen,Tuesday / Tuesday,09:30/12:29 / 13:30/15:29,BBB / BBB / -- / --,0,5,YZVE_LS,23984,2025 - 2026 Bahar Dönemi
YZV 104E,Int.toPrg.forDataSci.(Python),Ahmet Cüneyd Tantuğ,Tuesday / Tuesday,09:30/12:29 / 13:30/15:29,BBB / BBB / -- / --,0,75,YZVE_LS,23988,2025 - 2026 Bahar Dönemi
YZV 202E,Optimization for Data Science,Faik Boray Tek,Tuesday,13:30/16:29,BBB / --,0,70,YZVE_LS,23989,2025 - 2026 Bahar Dönemi
YZV 212E,Fund.ofArtificial Intelligence,Sanem Sarıel Uzer,Wednesday,12:30/15:29,BBB / --,0,85,YZVE_LS,23990,2025 - 2026 Bahar Dönemi
YZV 321E,Fund.ofArtificial Intelligence,Berna Kiraz,Wednesday,12:30/15:29,BBB / --,0,5,YZVE_LS,23993,2025 - 2026 Bahar Dönemi
YZV 322E,Applied Data Engineering,Mehmet Tunçel,Monday,12:30/16:29,BBB / --,0,80,YZVE_LS,23999,2025 - 2026 Bahar Dönemi
YZV 405E,Natural Language Processing,Gülşen Eryiğit,Wednesday,08:30/11:29,BBB / --,0,60,YZVE_LS,24000,2025 - 2026 Bahar Dönemi
YZV 415,Derin Pekiştirmeli Öğrenme,Sanem Sarıel Uzer,Tuesday,09:30/12:29,BBB / --,0,30,YZVE_LS,24023,2025 - 2026 Bahar Dönemi
YZV 416E,Computer Vision,Gözde Ünal,Monday,08:30/11:29,BBB / --,0,60,YZVE_LS,24009,2025 - 2026 Bahar Dönemi
YZV 445E,Artificial Intelligence Project,Faik Boray Tek,Thursday,09:30/12:29,BBB / --,0,25,YZVE_LS,24017,2025 - 2026 Bahar Dönemi
YZV 447E,Cognitive Neuroscience,Didem Gökçay,Tuesday / Friday,15:30/17:29 / 15:30/17:29,BBB / BBB / -- / --,0,20,YZVE_LS,24015,2025 - 2026 Bahar Dönemi
YZV 475E,Data Visualization,Sefer Baday,Thursday,13:30/16:29,BBB / --,0,25,YZVE_LS,24010,2025 - 2026 Bahar Dönemi
YZV 4901E,AI &Data Engineering Design I,Berna Kiraz,-,-/-,- / -,0,45,YZVE_LS,24013,2025 - 2026 Bahar Dönemi
YZV 4902E,AI& Data Engineering Design II,Tuğçe Bilen,-,-/-,- / -,0,45,YZVE_LS,24014,2025 - 2026 Bahar Dönemi
YZV 495E,Speech and Audio Processing,Cenk Demiroğlu,Friday,09:30/12:29,BBB / --,0,25,YZVE_LS,24019,2025 - 2026 Bahar Dönemi
