Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BLG 113E,Intr.toComp.Eng.and Ethics,"Burak Berk Üstündağ , / Gökhan İnce",Wednesday,13:30/15:29,BBB / --,0,150,"BLG_LS, BLGE_LS",13491,2024 - 2025 Yaz Dönemi
BLG 212E,Microprocessor Systems,Ayşe Yılmazer Metin,Monday,08:30/11:29,BBB / --,0,90,"BLG_LS, BLGE_LS",13503,2024 - 2025 Yaz Dönemi
BLG 212E,Microprocessor Systems,Gökhan İnce,Monday,08:30/11:29,BBB / --,0,90,"BLG_LS, BLGE_LS",13504,2024 - 2025 Yaz Dönemi
BLG 223E,Data Structures,Yusuf Hüseyin Şahin,Tuesday / Wednesday,08:30/10:29 / 13:30/15:29,BBB / BBB / -- / --,0,80,"BLG_LS, BLGE_LS, SECE_LS",13494,2024 - 2025 Yaz Dönemi
BLG 231E,Digital Circuits,Feza Buzluca,Friday,08:30/11:29,BBB / --,0,80,"BLG_LS, BLGE_LS, SECE_LS",13495,2024 - 2025 Yaz Dönemi
BLG 231E,Digital Circuits,Sanem Kabadayı,Friday,08:30/11:29,BBB / --,0,80,"BLG_LS, BLGE_LS, SECE_LS",13496,2024 - 2025 Yaz Dönemi
BLG 317E,Database Systems,Ali Çakmak,Wednesday,08:30/11:29,BBB / --,0,90,"BLG_LS, BLGE_LS",13505,2024 - 2025 Yaz Dönemi
BLG 317E,Database Systems,Kadir Özlem,Wednesday,08:30/11:29,BBB / --,0,90,"BLG_LS, BLGE_LS",13508,2024 - 2025 Yaz Dönemi
BLG 317E,Database Systems,Ahmet Cüneyd Tantuğ,Monday,09:30/12:29,BBB / --,0,75,YZVE_LS,13511,2024 - 2025 Yaz Dönemi
BLG 335E,Analysis of Algorithms I,Mehmet Baysan,Thursday,10:30/13:29,BBB / --,0,80,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",13513,2024 - 2025 Yaz Dönemi
BLG 335E,Analysis of Algorithms I,İlkay Öksüz,Thursday,08:30/11:29,BBB / --,0,80,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",13518,2024 - 2025 Yaz Dönemi
BLG 335E,Analysis of Algorithms I,Berna Kiraz,Friday,09:30/12:29,BBB / --,0,75,"BLG_LS, BLGE_LS, SECE_LS, YZVE_LS",13519,2024 - 2025 Yaz Dönemi
BLG 337E,Principles of Computer Comm.,Abdül Halim Zaim,Friday,14:30/17:29,BBB / --,0,50,"BLG_LS, BLGE_LS",13529,2024 - 2025 Yaz Dönemi
BLG 345E,Logic & Computability,Mehmet Tahir Sandıkkaya,Tuesday,09:30/12:29,BBB / --,0,50,"BLG_LS, BLGE_LS",13530,2024 - 2025 Yaz Dönemi
BLG 348E,Introduction to Bioinformatics,Mehmet Baysan,Thursday,14:30/17:29,BBB / --,0,50,"BLG_LS, BLGE_LS",13531,2024 - 2025 Yaz Dönemi
BLG 351E,Microcomputer Lab.,Nizamettin Aydın,Monday,12:30/14:29,BBB / --,0,60,"BLG_LS, BLGE_LS",13521,2024 - 2025 Yaz Dönemi
BLG 351E,Microcomputer Lab.,İlkay Öksüz,Tuesday,08:30/10:29,BBB / --,0,60,"BLG_LS, BLGE_LS",13523,2024 - 2025 Yaz Dönemi
BLG 351E,Microcomputer Lab.,Mustafa Ersel Kamaşak,Friday,14:30/16:29,BBB / --,0,60,"BLG_LS, BLGE_LS",13526,2024 - 2025 Yaz Dönemi
BLG 411E,Software Engineering,Ayşe Tosun Kühn,Friday,09:30/12:29,BBB / --,0,80,"BLG_LS, BLGE_LS, YZVE_LS",13534,2024 - 2025 Yaz Dönemi
