Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CAB 1013,Viyola I,Barış Kerem Bahar,Monday,13:30/15:29,TMB / --,0,5,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",12252,2024 - 2025 Yaz Dönemi
CAB 105,Tar I,Ahmet Serhat Turunç,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11885,2024 - 2025 Yaz Dönemi
CAB 107,Bağlama I,Ali Kazım Akdağ,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11888,2024 - 2025 Yaz Dönemi
CAB 107,Bağlama I,Engin Şafak Gürler,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11889,2024 - 2025 Yaz Dönemi
CAB 107,Bağlama I,Cihangir Terzi,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11891,2024 - 2025 Yaz Dönemi
CAB 109,Ud I,Sarper Eroğlu,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11892,2024 - 2025 Yaz Dönemi
CAB 1101,Keman I,Ahmet Hakan Şensoy,Monday,13:30/15:29,TMB / --,0,5,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",12041,2024 - 2025 Yaz Dönemi
CAB 1101E,Violin I,Pınar Tezişçi Özmenay,Monday,13:30/15:29,TMB / --,0,5,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",12042,2024 - 2025 Yaz Dönemi
CAB 113,Ney I,Ali Tüfekçi,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11893,2024 - 2025 Yaz Dönemi
CAB 115,Mey I,Cem Ekmen,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11894,2024 - 2025 Yaz Dönemi
CAB 117,Kaval I,Cihan Yurtcu,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11895,2024 - 2025 Yaz Dönemi
CAB 119,Klarnet I,Özlem Kolat Çakmaksoy,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11897,2024 - 2025 Yaz Dönemi
CAB 123,Flüt I,Cem Önertürk,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11899,2024 - 2025 Yaz Dönemi
CAB 125,Kudüm I,Erkan Kanat,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11900,2024 - 2025 Yaz Dönemi
CAB 127,3 Telli Kemençe I,Hatice Doğan Sevinç,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11902,2024 - 2025 Yaz Dönemi
CAB 129,4 Telli Kemençe I,Lale Akay,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11904,2024 - 2025 Yaz Dönemi
CAB 131,Keman I,Pınar Tezişçi Özmenay,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11906,2024 - 2025 Yaz Dönemi
CAB 131,Keman I,Ahmet Hakan Şensoy,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11908,2024 - 2025 Yaz Dönemi
CAB 131,Keman I,Ibragım Orazov,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11910,2024 - 2025 Yaz Dönemi
CAB 133,Viyolonsel I,Yelda Özgen Öztürk,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11912,2024 - 2025 Yaz Dönemi
CAB 133,Viyolonsel I,Cenk Öztürk,-,-/-,- / -,0,5,"CAB_LS, CEB_LS",11914,2024 - 2025 Yaz Dönemi
