Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EUT 117E,Int.to Indus.Prod.Dsgn.&Ethics,"Cemal İrfan Çalışkan , / Layıka Ney Ece Arıburun Kırca , / Elif Küçüksayraç",Thursday,13:30/16:29,MMB / --,0,90,"ENT_YD, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",14011,2024 - 2025 Yaz Dönemi
EUT 204E,Manufacturing Methods,Demet Günal Ertaş,Monday,13:30/17:29,MMB / --,0,10,"EUT_LS, EUT_YD, EUTE_LS",14013,2024 - 2025 Yaz Dönemi
EUT 220E,Industrial Design Studio I,Elif Küçüksayraç,Tuesday / Friday,13:30/17:29 / 14:00/17:59,MMB / MMB / -- / --,0,20,"ENTE_LS, EUT_LS, EUTE_LS",14022,2024 - 2025 Yaz Dönemi
EUT 241E,Computer Aided Design,Ahmet Hamurcu,Tuesday,09:30/12:29,MMB / BIM2,0,30,"ENTE_LS, EUT_LS, EUTE_LS",14027,2024 - 2025 Yaz Dönemi
EUT 241E,Computer Aided Design,Cemal İrfan Çalışkan,Friday,08:30/11:29,MMB / BIM2,0,30,"ENTE_LS, EUT_LS, EUTE_LS",14029,2024 - 2025 Yaz Dönemi
EUT 271E,Research for Product Design,Pelin Efilti,Wednesday,13:30/15:29,MMB / --,0,120,"ENTE_LS, EUT_LS, EUTE_LS",14030,2024 - 2025 Yaz Dönemi
EUT 319E,Industrial Design Studio II,Özge Çelikoğlu,Tuesday / Friday,13:30/17:29 / 14:00/17:59,MMB / MMB / -- / --,0,20,"ENTE_LS, EUT_LS, EUTE_LS",14033,2024 - 2025 Yaz Dönemi
EUT 319E,Industrial Design Studio II,Ahmet Hamurcu,Tuesday / Friday,13:30/17:29 / 14:00/17:59,MMB / MMB / -- / --,0,20,"ENTE_LS, EUT_LS, EUTE_LS",14035,2024 - 2025 Yaz Dönemi
EUT 319E,Industrial Design Studio II,Ekrem Cem Alppay,Tuesday / Friday,13:30/17:29 / 14:00/17:59,MMB / MMB / -- / --,0,20,"ENTE_LS, EUT_LS, EUTE_LS",14039,2024 - 2025 Yaz Dönemi
EUT 320E,Industrial Design Studio III,Çiğdem Kaya,Tuesday / Friday,13:30/17:29 / 14:00/17:59,MMB / MMB / -- / --,0,20,"ENTE_LS, EUT_LS, EUTE_LS",14042,2024 - 2025 Yaz Dönemi
EUT 325E,History of Design II,Meltem Maralcan Gülmen,Tuesday,09:30/12:29,MMB / --,0,90,"ENT_YD, ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",14044,2024 - 2025 Yaz Dönemi
EUT 367E,Intr. to Mechanical Design,Cem Avcı,Monday,08:30/12:29,MMB / --,0,90,"ENTE_LS, EUT_YD, EUTE_LS",14055,2024 - 2025 Yaz Dönemi
EUT 419E,Industrial Design Studio IV,Aysun Ateş Akdeniz,Tuesday / Friday,13:30/17:29 / 14:00/17:59,MMB / MMB / -- / --,0,25,"ENTE_LS, EUT_LS, EUTE_LS",14058,2024 - 2025 Yaz Dönemi
EUT 419E,Industrial Design Studio IV,Layıka Ney Ece Arıburun Kırca,Tuesday / Friday,13:30/17:29 / 14:00/17:59,MMB / MMB / -- / --,0,25,"ENTE_LS, EUT_LS, EUTE_LS",14059,2024 - 2025 Yaz Dönemi
EUT 423E,Cult.and Com.in Product Design,Özge Çelikoğlu,Thursday,13:30/15:29,MMB / --,0,90,"ENTE_LS, EUT_LS, EUTE_LS",14060,2024 - 2025 Yaz Dönemi
EUT 4902E,Graduation Project,Ekrem Cem Alppay,-,-/-,- / -,0,500,"ENTE_LS, EUT_LS, EUTE_LS",14068,2024 - 2025 Yaz Dönemi
EUT 492,Bitirme Çalışması,Ekrem Cem Alppay,-,-/-,- / -,0,50,EUT_LS,14067,2024 - 2025 Yaz Dönemi
