Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GID 113E,Int.to Food Eng. and Ethics,Aslı Can Karaça,Wednesday,12:30/14:29,KMB / D203,0,95,"GID_LS, GIDE_LS",11528,2024 - 2025 Yaz Dönemi
GID 210E,Engineering Mathematics,Evren Demircan,Wednesday,08:30/12:29,KMB / D303,0,80,"GID_LS, GIDE_LS",11530,2024 - 2025 Yaz Dönemi
GID 211E,Mass and Energy Balances,Celale Kırkın Gözükırmızı,Tuesday,09:30/12:29,KMB / D104,0,50,"GID_LS, GIDE_LS",11532,2024 - 2025 Yaz Dönemi
GID 216E,Mass and Energy Balances,Meral Kılıç Akyılmaz,Tuesday,09:30/12:29,KMB / D204,0,95,"GID_LS, GIDE_LS",11533,2024 - 2025 Yaz Dönemi
GID 221E,Food Chemistry,Aslı Can Karaça,Friday,09:30/12:29,KMB / D102,0,50,"GID_LS, GIDE_LS",11537,2024 - 2025 Yaz Dönemi
GID 223E,Food Chemistry,Esra Çapanoğlu Güven,Friday,09:30/12:29,KMB / D202,0,95,"GID_LS, GIDE_LS",11539,2024 - 2025 Yaz Dönemi
GID 306E,Food Plant Design & Economics,"Gürbüz Güneş , / Celale Kırkın Gözükırmızı",Thursday,09:30/12:29,KMB / D302,0,95,"GID_LS, GIDE_LS",11556,2024 - 2025 Yaz Dönemi
GID 311,Gıda Mikrobiyolojisi I,Pervin Başaran Akocak,Thursday,09:30/12:29,KMB / D102,0,35,GID_LS,11543,2024 - 2025 Yaz Dönemi
GID 311,Gıda Mikrobiyolojisi I,Fatih Ortakcı,Thursday,09:30/12:29,KMB / GZ101,0,35,GID_LS,11544,2024 - 2025 Yaz Dönemi
GID 323,Gıda Mikrobiyolojisi Lab,"Hatice Funda Karbancıoğlu Güler , / Enes Dertli",Tuesday,08:30/12:29,KMB / G308,0,30,GID_LS,11545,2024 - 2025 Yaz Dönemi
GID 323,Gıda Mikrobiyolojisi Lab,"Hatice Funda Karbancıoğlu Güler , / Enes Dertli",Tuesday,13:00/16:59,KMB / G308,0,30,GID_LS,11546,2024 - 2025 Yaz Dönemi
GID 331E,Food Eng Unit Operations I,Fatma Ebru Fıratlıgil,Friday,14:00/16:59,KMB / D103,0,95,"GID_LS, GIDE_LS",11542,2024 - 2025 Yaz Dönemi
GID 339E,Production of Food Ingredients,Aslı Can Karaça,Monday,08:30/10:29,KMB / D204,0,20,"GID_LS, GIDE_LS",11572,2024 - 2025 Yaz Dönemi
