Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GMI 114,Malz.Bilgisi ve Üretim Yöntem.,Hakan Demirel,Tuesday,15:30/17:29,DZB / --,0,60,GMI_LS,11065,2024 - 2025 Yaz Dönemi
GMI 118,Gemi Mak. İşl.Müh.Gir.veEtik,Kadir Çiçek,Monday,08:30/11:29,DZB / --,0,100,GMI_LS,11067,2024 - 2025 Yaz Dönemi
GMI 206,Atölye,Çağlar Karatuğ,Monday,11:30/14:29,DZB / --,0,30,GMI_LS,11068,2024 - 2025 Yaz Dönemi
GMI 206,Atölye,Çağlar Karatuğ,Monday,14:30/17:29,DZB / --,0,30,GMI_LS,11070,2024 - 2025 Yaz Dönemi
GMI 254,Gemi Yardımcı Makineleri I,Ömer Berkehan İnal,Thursday,14:30/17:29,DZB / --,0,60,GMI_LS,11071,2024 - 2025 Yaz Dönemi
GMI 270E,Maritime English II,Müjgan Özenir,Tuesday,10:30/12:29,DZB / --,0,40,GMI_LS,11073,2024 - 2025 Yaz Dönemi
GMI 270E,Maritime English II,Müjgan Özenir,Wednesday,10:30/12:29,DZB / --,0,40,GMI_LS,11075,2024 - 2025 Yaz Dönemi
GMI 270E,Maritime English II,Müjgan Özenir,Wednesday,13:30/15:29,DZB / --,0,40,GMI_LS,11077,2024 - 2025 Yaz Dönemi
GMI 301,Deniz Hukuku,Hakan Muran,Thursday,11:30/13:29,DZB / --,0,40,GMI_LS,11080,2024 - 2025 Yaz Dönemi
GMI 301,Deniz Hukuku,Hakan Muran,Thursday,13:30/15:29,DZB / --,0,40,GMI_LS,11082,2024 - 2025 Yaz Dönemi
GMI 313,Gemi Buhar Kazanları & Operas.,Veysi Başhan,Tuesday,12:30/14:29,DZB / --,0,100,GMI_LS,11084,2024 - 2025 Yaz Dönemi
GMI 320,Gemi İnşaatı ve Stabilite,Emre Kahramanoğlu,Tuesday,09:30/11:29,DZB / --,0,40,GMI_LS,11085,2024 - 2025 Yaz Dönemi
GMI 320,Gemi İnşaatı ve Stabilite,Emre Kahramanoğlu,Tuesday,11:30/13:29,DZB / --,0,40,GMI_LS,11087,2024 - 2025 Yaz Dönemi
GMI 324,Gemi Mak. Operasyon&Bakımı,Samet Biçen,Thursday,13:30/15:29,DZB / --,0,40,GMI_LS,11088,2024 - 2025 Yaz Dönemi
GMI 324,Gemi Mak. Operasyon&Bakımı,Samet Biçen,Thursday,15:30/17:29,DZB / --,0,40,GMI_LS,11090,2024 - 2025 Yaz Dönemi
GMI 333,Gemi Dizel Makineleri II,Cengiz Deniz,Tuesday,15:30/17:29,DZB / --,0,30,GMI_LS,11092,2024 - 2025 Yaz Dönemi
GMI 333,Gemi Dizel Makineleri II,Burak Zincir,Wednesday,13:30/15:29,DZB / --,0,30,GMI_LS,11096,2024 - 2025 Yaz Dönemi
GMI 341E,Automatic Control Systems,İsmail Çiçek,Monday,14:30/17:29,DZB / --,0,50,GMI_LS,11099,2024 - 2025 Yaz Dönemi
GMI 341E,Automatic Control Systems,Tayfun Uyanık,Wednesday,08:30/11:29,DZB / --,0,50,GMI_LS,11102,2024 - 2025 Yaz Dönemi
GMI 342E,Maritime Rules & Regulations,Fırat Bolat,Monday,10:30/12:29,DZB / --,0,90,GMI_LS,11104,2024 - 2025 Yaz Dönemi
GMI 352,Isı Geçişi,Çağlar Karatuğ,Tuesday,14:30/17:29,DZB / --,0,50,GMI_LS,11107,2024 - 2025 Yaz Dönemi
GMI 352,Isı Geçişi,Çağlar Karatuğ,Wednesday,12:30/15:29,DZB / --,0,50,GMI_LS,11109,2024 - 2025 Yaz Dönemi
GMI 384E,Engine Room Simulator (ERS) I,İsmail Çiçek,Tuesday,08:30/11:29,DZB / --,0,16,GMI_LS,11113,2024 - 2025 Yaz Dönemi
GMI 384E,Engine Room Simulator (ERS) I,Samet Biçen,Wednesday,08:30/11:29,DZB / --,0,16,GMI_LS,11119,2024 - 2025 Yaz Dönemi
GMI 384E,Engine Room Simulator (ERS) I,Samet Biçen,Thursday,08:30/11:29,DZB / --,0,16,GMI_LS,11122,2024 - 2025 Yaz Dönemi
GMI 392E,Long Term Sea Training,İsmail Çiçek,-,-/-,- / -,0,500,"GMI_LS, GMIE_LS",11124,2024 - 2025 Yaz Dönemi
GMI 454,Gemi Yardımcı Makineleri II,Ömer Berkehan İnal,Thursday,08:30/11:29,DZB / --,0,75,GMI_LS,11126,2024 - 2025 Yaz Dönemi
GMI 457,Gemi Elektrotekniği,Tayfun Uyanık,Tuesday,08:30/10:29,DZB / --,0,80,GMI_LS,11128,2024 - 2025 Yaz Dönemi
GMI 471E,Refrigeration and HVAC Systems,Veysi Başhan,Tuesday,15:30/17:29,DZB / --,0,30,GMI_LS,11130,2024 - 2025 Yaz Dönemi
GMI 473,Gemi Dizel Makineleri III,Yalçın Durmuşoğlu,Tuesday,10:30/12:29,DZB / --,0,40,GMI_LS,11131,2024 - 2025 Yaz Dönemi
GMI 474E,Quality&Safety Management Sys.,Metin Çelik,Wednesday,08:30/10:29,DZB / --,0,20,GMI_LS,11132,2024 - 2025 Yaz Dönemi
GMI 477E,Alternative Fuel Technologies,Burak Zincir,Monday,15:30/17:29,DZB / --,0,30,GMI_LS,11133,2024 - 2025 Yaz Dönemi
GMI 481E,Marine Insurance,Sinan Çakır,Thursday,13:30/15:29,DZB / --,0,30,GMI_LS,11134,2024 - 2025 Yaz Dönemi
GMI 486E,Shipping Finance,Sinan Çakır,Monday,09:30/11:29,DZB / --,0,30,GMI_LS,11135,2024 - 2025 Yaz Dönemi
GMI 487E,Occupational Health & Safety,Kadir Çiçek,Monday,13:30/15:29,DZB / --,0,30,GMI_LS,11136,2024 - 2025 Yaz Dönemi
GMI 4901,Gemi Mak. İşl. Müh. Tasarımı I,Tayfun Uyanık,-,-/-,- / -,0,500,GMI_LS,11137,2024 - 2025 Yaz Dönemi
