Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ISL 121E,Int.to Management Eng.&Ethics,"Nihan Yıldırım , / Zeynep Erden Bayazıt",Wednesday,13:30/15:29,MED / --,0,120,"ISL_LS, ISLE_LS",13586,2024 - 2025 Yaz Dönemi
ISL 213E,Statistics I,"Tolga Kaya , / Raziye Selim",Tuesday,14:30/17:29,ISB / --,0,120,"ISL_LS, ISLE_LS",13587,2024 - 2025 Yaz Dönemi
ISL 213E,Statistics I,"Tolga Kaya , / Raziye Selim",Wednesday,09:30/12:29,ISB / --,0,120,"ISL_LS, ISLE_LS",13588,2024 - 2025 Yaz Dönemi
ISL 223E,Fundm.of Production Management,Hür bersam Sidal,Tuesday,09:30/12:29,ISB / --,0,120,"CHZ_LS, GID_LS, GIDE_LS, ISL_LS, ISLE_LS",13589,2024 - 2025 Yaz Dönemi
ISL 223E,Fundm.of Production Management,Osman Taylan,Thursday,14:30/17:29,ISB / --,0,120,"CHZ_LS, GID_LS, GIDE_LS, ISL_LS, ISLE_LS",13590,2024 - 2025 Yaz Dönemi
ISL 224E,Cost Accounting,Oktay Taş,Monday,09:30/12:29,ISB / --,0,180,"CHZ_LS, EFN_LS, END_LS, ENDE_LS, GID_LS, GIDE_LS, IMLE_LS, ISL_LS, ISLE_LS",13591,2024 - 2025 Yaz Dönemi
ISL 233E,Microeconomics,Ayşe Aylin Bayar,Tuesday,14:30/17:29,ISB / --,0,80,"ISL_LS, ISLE_LS, MMD_LS",13592,2024 - 2025 Yaz Dönemi
ISL 233E,Microeconomics,İbrahim Öner Günçavdı,Wednesday,09:30/12:29,ISB / --,0,80,"ISL_LS, ISLE_LS, MMD_LS",13593,2024 - 2025 Yaz Dönemi
ISL 234E,Management and Organization,Zeynep Erden Bayazıt,Monday,14:30/17:29,ISB / --,0,90,"ECNE_LS, GID_LS, GIDE_LS, ISL_LS, ISLE_LS, MMD_LS",13594,2024 - 2025 Yaz Dönemi
ISL 244E,Macroeconomics,Ahmet Atıl Aşıcı,Wednesday,09:30/12:29,ISB / --,0,90,"ISL_LS, ISLE_LS, MMD_LS",13595,2024 - 2025 Yaz Dönemi
ISL 323E,Operations Research,Aziz Kemal Konyalıoğlu,Monday,14:30/17:29,ISB / --,0,100,"ISL_LS, ISLE_LS, MMD_LS",13596,2024 - 2025 Yaz Dönemi
ISL 323E,Operations Research,Aziz Kemal Konyalıoğlu,Tuesday,14:30/17:29,ISB / --,0,100,"ISL_LS, ISLE_LS, MMD_LS",13597,2024 - 2025 Yaz Dönemi
ISL 334E,Quality for Engineers,Saeed Tasoujı Hassanpour,Wednesday,09:30/12:29,ISB / --,0,90,"ECNE_LS, ISL_LS, ISLE_LS",13598,2024 - 2025 Yaz Dönemi
ISL 334E,Quality for Engineers,Saeed Tasoujı Hassanpour,Thursday,09:30/12:29,ISB / --,0,90,"ECNE_LS, ISL_LS, ISLE_LS",13599,2024 - 2025 Yaz Dönemi
ISL 344E,Strategic Manage. for Engin.,Mehmet Erçek,Monday,14:30/17:29,ISB / --,0,90,"ISL_LS, ISLE_LS",13600,2024 - 2025 Yaz Dönemi
ISL 344E,Strategic Manage. for Engin.,Mehmet Erçek,Tuesday,14:30/17:29,ISB / --,0,90,"ISL_LS, ISLE_LS",13601,2024 - 2025 Yaz Dönemi
ISL 353E,Marketing,Adnan Veysel Ertemel,Monday,09:30/12:29,ISB / --,0,90,"ECNE_LS, ENTE_LS, EUTE_LS, ISL_LS, ISLE_LS, MMD_LS",13602,2024 - 2025 Yaz Dönemi
