Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KMM 111,Kimya Müh. Giriş ve Etik,Filiz Karaosmanoğlu,Wednesday,14:30/15:29,KMB / D203,0,100,KMM_LS,11453,2024 - 2025 Yaz Dönemi
KMM 210E,Engineering Mathematics,Elif Öztürk Er,Monday / Monday,11:30/13:29 / 14:30/16:29,KMB / KMB / D104 / D104,0,60,KMM_LS,11456,2024 - 2025 Yaz Dönemi
KMM 211,Kütle ve Enerji Denklikleri,Fatoş Yüksel Güvenilir,Tuesday,13:30/16:29,KMB / D301,0,50,"KMM_LS, KMM_YD",11458,2024 - 2025 Yaz Dönemi
KMM 211,Kütle ve Enerji Denklikleri,Fatma Elif Genceli Güner,Tuesday,13:30/16:29,KMB / D302,0,50,"KMM_LS, KMM_YD",11459,2024 - 2025 Yaz Dönemi
KMM 220,Akışkanlar Mekaniği,Ömer Şahin,Thursday,12:30/15:29,KMB / D302,0,30,KMM_LS,11460,2024 - 2025 Yaz Dönemi
KMM 224,Kimya Müh.Termodinamiği,"Ayşegül Meriçboyu , / Melek Mümine Erol Taygun",Wednesday / Thursday,12:30/15:29 / 09:30/11:29,KMB / KMB / D103 / D304,0,30,"KMM_LS, KMM_YD",11461,2024 - 2025 Yaz Dönemi
KMM 224,Kimya Müh.Termodinamiği,Reha Yavuz,Thursday / Friday,09:30/11:29 / 09:30/12:29,KMB / KMB / D104 / D103,0,30,"KMM_LS, KMM_YD",11463,2024 - 2025 Yaz Dönemi
KMM 305E,Heat and Mass Transfer,Ayşe Özge Kürkçüoğlu Levitas,Monday / Tuesday,13:30/15:29 / 10:30/12:29,KMB / KMB / D304 / D304,0,50,"KMM_LS, KMM_YD",11464,2024 - 2025 Yaz Dönemi
KMM 305E,Heat and Mass Transfer,Ahmet Sirkecioğlu,Monday / Tuesday,13:30/15:29 / 10:30/12:29,KMB / KMB / D202 / D301,0,50,"KMM_LS, KMM_YD",11465,2024 - 2025 Yaz Dönemi
KMM 311E,Thermodynamics II,Ramazan Kızıl,Thursday,09:30/12:29,KMB / GZ103,0,10,"KMM_LS, KMM_YD",11481,2024 - 2025 Yaz Dönemi
KMM 315E,Physical Che.for Chemical Eng.,Fethiye Aylin Sungur,Tuesday,13:30/16:29,KMB / D201,0,50,"KMM_LS, KMM_YD",11466,2024 - 2025 Yaz Dönemi
KMM 315E,Physical Che.for Chemical Eng.,Nil Özbek,Tuesday,13:30/16:29,KMB / D203,0,50,"KMM_LS, KMM_YD",11467,2024 - 2025 Yaz Dönemi
KMM 321E,Heat Transfer,Fatma Elif Genceli Güner,Tuesday,09:30/12:29,KMB / GZ103,0,20,"KMM_LS, KMM_YD",11468,2024 - 2025 Yaz Dönemi
KMM 331,Kütle Aktarımı,Sinan Kutluay,Monday,09:30/12:29,KMB / D301,0,10,"KMM_LS, KMM_YD",11469,2024 - 2025 Yaz Dönemi
KMM 332,Ayırma İşlemleri,Gülhayat Saygılı,Monday / Thursday,11:30/13:29 / 11:30/13:29,KMB / KMB / D203 / D202,0,30,"KMM_LS, KMM_YD",11470,2024 - 2025 Yaz Dönemi
KMM 411E,Process Control,Serdar Yaman,Monday,08:30/11:29,KMB / D103,0,50,KMM_LS,11472,2024 - 2025 Yaz Dönemi
KMM 411E,Process Control,Devrim Barış Kaymak,Monday,08:30/11:29,KMB / D102,0,50,KMM_LS,11473,2024 - 2025 Yaz Dönemi
KMM 412,Kimyasal Teknolojiler,"Melek Tüter , / Filiz Karaosmanoğlu",Monday,13:30/16:29,KMB / D201,0,100,"KMM_LS, KMM_YD",11474,2024 - 2025 Yaz Dönemi
KMM 413,Biyokatalizörler ve Karakter,Fatoş Yüksel Güvenilir,Wednesday,09:30/12:29,KMB / D205,0,20,KMM_LS,11482,2024 - 2025 Yaz Dönemi
KMM 413E,Biocatatlysts &Their Character,Ramazan Kızıl,Wednesday,09:30/12:29,KMB / D101,0,20,KMM_LS,11483,2024 - 2025 Yaz Dönemi
KMM 421E,Chemical Reaction Eng II,Gamze Gümüşlü Gür,Thursday,13:30/16:29,KMB / D101,0,10,"KMM_LS, KMM_YD",11475,2024 - 2025 Yaz Dönemi
KMM 428E,Special Seperation Techniques,Nil Özbek,Tuesday,09:30/12:29,KMB / D101,0,20,KMM_LS,11506,2024 - 2025 Yaz Dönemi
KMM 429,Kimya End Korozyon & Malz Seçi,Hanzade Açma,Tuesday,09:30/12:29,KMB / D202,0,20,KMM_LS,11484,2024 - 2025 Yaz Dönemi
KMM 431E,Chemical Engineering Design I,Alper Sarıoğlan,Wednesday / Thursday,12:30/15:29 / 10:30/12:29,KMB / KMB / D304 / D305,0,10,"KMM_LS, KMM_YD",11476,2024 - 2025 Yaz Dönemi
KMM 438,İlaç Hammaddeleri Üretimi,Ayşe Banu Kocaağa,Wednesday,09:30/12:29,KMB / D105,0,20,KMM_LS,11507,2024 - 2025 Yaz Dönemi
KMM 451,Kimya Mühendisliği Lab. I,"Nalan Erdöl Aydın , / Ayşe Arifoğlu , / Taylan Maraş , / İlayda Nur Oksal , / Ebru Kahraman",Tuesday,08:30/12:29,KMB / K209,0,40,KMM_LS,11477,2024 - 2025 Yaz Dönemi
KMM 451,Kimya Mühendisliği Lab. I,"Nalan Erdöl Aydın , / Ayşe Arifoğlu , / Taylan Maraş , / İlayda Nur Oksal , / Ebru Kahraman",Tuesday,13:30/17:29,KMB / K209,0,30,KMM_LS,11478,2024 - 2025 Yaz Dönemi
KMM 451,Kimya Mühendisliği Lab. I,"Nalan Erdöl Aydın , / Ayşe Arifoğlu , / Taylan Maraş , / İlayda Nur Oksal , / Ebru Kahraman",Friday,08:30/12:29,KMB / K209,0,0,KMM_LS,11479,2024 - 2025 Yaz Dönemi
KMM 453,Kimya Müh.Bilg.Dest.Tasarım,Sinan Kutluay,Tuesday,09:30/12:29,KMB / BIL.LAB.1,0,20,KMM_LS,11491,2024 - 2025 Yaz Dönemi
KMM 453,Kimya Müh.Bilg.Dest.Tasarım,İlayda Nur Oksal,Wednesday,09:30/12:29,KMB / BIL.LAB.1,0,20,KMM_LS,11492,2024 - 2025 Yaz Dönemi
KMM 458,Ölçme ve Kontrol Cihazları,Sinan Kutluay,Tuesday,13:30/16:29,KMB / D305,0,20,KMM_LS,11509,2024 - 2025 Yaz Dönemi
KMM 459,Yüzey Kimyası ve Kolloidler,Ömer Şahin,Tuesday,09:00/11:59,KMB / D106,0,20,KMM_LS,11508,2024 - 2025 Yaz Dönemi
KMM 461E,Introduction to Electrochemical Engineering,Mehmet Suha Yazıcı,Wednesday,09:30/12:29,KMB / GZ101,0,20,KMM_LS,11510,2024 - 2025 Yaz Dönemi
KMM 465,Çevre Kimyası ve Teknolojisi,Ahmet Alper Aydın,Wednesday,09:30/12:29,KMB / D106,0,20,KMM_LS,11495,2024 - 2025 Yaz Dönemi
KMM 465E,Environmental Chemistry&Techn.,Ahmet Alper Aydın,Tuesday,09:30/12:29,KMB / GZ101,0,20,KMM_LS,11496,2024 - 2025 Yaz Dönemi
KMM 466E,Boron Technology,"Hale Gürbüz , / Hüseyin Enis Karahan",Tuesday,09:30/12:29,KMB / D203,0,20,KMM_LS,11497,2024 - 2025 Yaz Dönemi
KMM 468E,Energy Conservation in Indstry,Serdar Yaman,Thursday,09:30/12:29,KMB / D101,0,20,KMM_LS,11499,2024 - 2025 Yaz Dönemi
KMM 483,Araştırma Projesi I,Alper Sarıoğlan,Friday,14:00/16:59,KMB / --,0,100,KMM_LS,12605,2024 - 2025 Yaz Dönemi
KMM 485,Polimer Kimyası ve Teknolojisi,Fatma Seniha Güner,Wednesday,09:30/12:29,KMB / D304,0,20,KMM_LS,11500,2024 - 2025 Yaz Dönemi
KMM 4901,Kimya Mühendisliği Tasarımı I,"Devrim Barış Kaymak , / Hale Gürbüz , / Hüseyin Enis Karahan",Wednesday / Thursday,12:30/15:29 / 10:30/12:29,KMB / KMB / D301 / D204,0,100,"KMM_LS, KMM_YD",11480,2024 - 2025 Yaz Dönemi
