Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MET 101E,Int.toMet.&Mat.Engn.&Eng.Ethic,"Faiz Muhaffel , / Murat Baydoğan",Wednesday,13:30/15:29,KMB / D201,0,200,"MET_LS, METE_LS",11380,2024 - 2025 Yaz Dönemi
MET 213,Malzeme Biliminin Temelleri,"Gültekin Göller , / İpek Akın Karadayı",Monday,13:30/16:29,KMB / D301,0,90,MET_LS,11385,2024 - 2025 Yaz Dönemi
MET 213E,Fund.of Materials Science,"Gültekin Göller , / İpek Akın Karadayı",Wednesday,09:30/12:29,KMB / D301,0,90,METE_LS,11387,2024 - 2025 Yaz Dönemi
MET 215,Metalurji Termodinamiğ. Tem.,Nuri Solak,Wednesday,09:30/12:29,KMB / D103,0,95,MET_LS,11389,2024 - 2025 Yaz Dönemi
MET 215E,Fund.of Metall.Thermodynamics,Nuri Solak,Thursday,10:30/13:29,KMB / D103,0,100,METE_LS,11392,2024 - 2025 Yaz Dönemi
MET 220,Mühendislik Matematiği,Kübra Onbaşlı,Monday / Wednesday,11:30/13:29 / 13:30/15:29,KMB / KMB / D102 / D102,0,60,MET_LS,11394,2024 - 2025 Yaz Dönemi
MET 220E,Engineering Mathematics,Kübra Onbaşlı,Friday / Friday,11:00/12:59 / 14:00/15:59,KMB / KMB / D104 / D104,0,60,METE_LS,11401,2024 - 2025 Yaz Dönemi
MET 313,Kimyasal Metalurji I,Servet İbrahim Timur,Monday,15:30/17:29,KMB / D202,0,100,MET_LS,11403,2024 - 2025 Yaz Dönemi
MET 313E,Chemical Metallugry I,Onuralp Yücel,Monday,15:30/17:29,KMB / D203,0,75,METE_LS,11404,2024 - 2025 Yaz Dönemi
MET 315E,Fund. of Physical Metallurgy,Duygu Ağaoğulları,Monday,08:30/11:29,KMB / D201,0,180,"MET_LS, METE_LS",11413,2024 - 2025 Yaz Dönemi
MET 317E,Fund. of Transport Phenomena,Güldem Kartal Şireli,Tuesday,10:30/13:29,KMB / D201,0,180,"MET_LS, METE_LS",11414,2024 - 2025 Yaz Dönemi
MET 335,Mlz.Elekt. Many.&Optk Özellik.,Hüseyin Kızıl,Thursday,08:30/11:29,KMB / D105,0,95,MET_LS,11415,2024 - 2025 Yaz Dönemi
MET 335E,"Elect.,Magn.,Optic.Prop.ofMat.",Muhammet Kürşat Kazmanlı,Friday,14:00/16:59,KMB / --,0,100,METE_LS,11416,2024 - 2025 Yaz Dönemi
MET 337,Malzeme Karakterizasyon Met.,"Gültekin Göller , / Özgül Keleş",Thursday,13:30/16:29,KMB / D301,0,100,MET_LS,11417,2024 - 2025 Yaz Dönemi
MET 337E,Materials Characteriz. Meth.,"Faiz Muhaffel , / Erçin Çağan Duran",Wednesday,08:30/11:29,KMB / D104,0,100,METE_LS,11418,2024 - 2025 Yaz Dönemi
MET 339,Malzeme Karakterizasyon Lab.,"Erçin Çağan Duran , / Muhammet Kürşat Kazmanlı , / Sebahattin Gürmen , / Servet İbrahim Timur , / Filiz Şahin , / Cevat Fahir Arısoy , / İpek Akın Karadayı , / Duygu Ağaoğulları , / Güldem Kartal Şireli , / Gültekin Göller , / Kübra Onbaşlı , / Aytekin Uzunoğlu",Tuesday,08:30/10:29,KMB / ML2,0,90,MET_LS,11420,2024 - 2025 Yaz Dönemi
MET 339E,Materials Characterization Lab,"Cevat Fahir Arısoy , / Onuralp Yücel , / Hüseyin Çimenoğlu , / Cevat Bora Derin , / Billur Deniz Karahan , / Hüseyin Kızıl , / Duygu Ağaoğulları , / Özgül Keleş , / Nuri Solak",Tuesday,13:30/15:29,KMB / ML2,0,80,METE_LS,11422,2024 - 2025 Yaz Dönemi
MET 353,Müh.Uyg.Tasar.Pren&Malz.Seç.,Bihter Zeytuncu Gökoğlu,Friday,08:30/10:29,KMB / D104,0,90,MET_LS,11425,2024 - 2025 Yaz Dönemi
MET 353E,Dsn.Prnc.&Mat.Sel for Eng.App.,"Özgül Keleş , / Billur Deniz Karahan",Wednesday,12:30/14:29,KMB / D104,0,90,METE_LS,11427,2024 - 2025 Yaz Dönemi
MET 435E,PST Desg.&Prj.Mng. and Innov.,"Özgül Keleş , / Billur Deniz Karahan",Thursday,11:30/13:29,KMB / D304,0,70,"MET_LS, METE_LS",11428,2024 - 2025 Yaz Dönemi
