Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MIM 106E,Structural Mechanics,Cenk Üstündağ,Tuesday,08:30/12:29,MMB / --,0,45,"ARC_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS",14071,2024 - 2025 Yaz Dönemi
MIM 106E,Structural Mechanics,Gülseren Erol Soyöz,Tuesday,08:30/12:29,MMB / --,0,45,"ARC_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS",14072,2024 - 2025 Yaz Dönemi
MIM 106E,Structural Mechanics,Ferhat Pakdamar,Tuesday,08:30/12:29,MMB / --,0,45,"ARC_LS, ENT_LS, ENTE_LS, EUT_LS, EUTE_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS",14073,2024 - 2025 Yaz Dönemi
MIM 114E,Accessibility,Göksenin İnalhan,Tuesday,12:30/14:29,MMB / --,0,40,"MIM_LS, MIME_LS",14074,2024 - 2025 Yaz Dönemi
MIM 119E,Int.to Architecture and Ethics,Mıchael Stefan Bıttermann,Wednesday,12:30/15:29,MMB / --,0,5,"MIM_LS, MIME_LS",14075,2024 - 2025 Yaz Dönemi
MIM 203,Mimarlıkta Yapı ve Yapım,Hülya Kuş,Wednesday / Wednesday,10:30/12:29 / 13:30/15:29,MMB / MMB / -- / --,0,150,MIM_LS,14077,2024 - 2025 Yaz Dönemi
MIM 203E,Building and Const inArch.,Enes Yaşa,Wednesday / Wednesday,10:30/12:29 / 13:30/15:29,MMB / MMB / -- / --,0,80,"IAD_LS, ICM_LS",14010,2024 - 2025 Yaz Dönemi
MIM 203E,Building and Const inArch.,"Ayşe Nil Türkeri , / Fatih Yazıcıoğlu",Wednesday / Wednesday,10:30/12:29 / 13:30/15:29,MMB / MMB / -- / --,0,230,"ARC_LS, MIME_LS",14078,2024 - 2025 Yaz Dönemi
MIM 204E,Arch.Building Element Design,Caner Göçer,Wednesday / Wednesday,09:30/12:29 / 13:30/15:29,MMB / MMB / -- / --,0,45,"ARC_LS, MIM_LS, MIME_LS",14085,2024 - 2025 Yaz Dönemi
MIM 208,Yapısal Analiz ve Tasarım I,"Necdet Torunbalcı , / Haluk Sesigür",Monday / Friday,10:30/12:29 / 10:30/12:29,MMB / MMB / -- / --,0,45,MIM_LS,14088,2024 - 2025 Yaz Dönemi
MIM 208,Yapısal Analiz ve Tasarım I,"Gülseren Erol Soyöz , / Ferhat Pakdamar",Monday / Friday,10:30/12:29 / 10:30/12:29,MMB / MMB / -- / --,0,45,MIM_LS,14090,2024 - 2025 Yaz Dönemi
MIM 208E,Structural Analysis& Design I,"Oğuz Cem Çelik , / Halet Almıla Büyüktaşkın",Tuesday / Friday,12:30/14:29 / 10:30/12:29,MMB / MMB / -- / --,0,60,"ARC_LS, MIM_LS, MIME_LS",14091,2024 - 2025 Yaz Dönemi
MIM 208E,Structural Analysis& Design I,"Cenk Üstündağ , / Haluk Sesigür",Tuesday / Friday,12:30/14:29 / 10:30/12:29,MMB / MMB / -- / --,0,60,"ARC_LS, MIM_LS, MIME_LS",14092,2024 - 2025 Yaz Dönemi
MIM 209,Mimarlık Tarihi I,"Mehmet Murat Gül , / Zeynep Kuban Tokgöz",Tuesday,14:30/17:29,MMB / --,0,100,MIM_LS,14099,2024 - 2025 Yaz Dönemi
MIM 209E,History of Architecture I,Görkem Günay,Tuesday,14:30/17:29,MMB / --,0,130,"ARC_LS, MIM_LS, MIME_LS",14101,2024 - 2025 Yaz Dönemi
MIM 210E,History of Architecture II,Bilge Ar,Thursday,09:30/12:29,MMB / --,0,100,"ARC_LS, MIM_LS, MIME_LS",14102,2024 - 2025 Yaz Dönemi
MIM 211,Mimari Proje III,Ayşe Meltem Baslo,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,MIM_LS,14103,2024 - 2025 Yaz Dönemi
MIM 211,Mimari Proje III,Özlem Berber Özkendirci,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,MIM_LS,14116,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Pelin Dursun Çebi,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14117,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Fatma Erkök,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14119,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Derya Güleç Özer,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14121,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Sema Alaçam,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14124,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Funda Uz,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14125,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Göksenin İnalhan,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14129,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Hakan Tüzün Şengün,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14132,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Arzu İrem Mollaahmetoğlu,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14134,2024 - 2025 Yaz Dönemi
MIM 211E,Architectural Design III,Begüm Hamzaoğlu,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,14,"ARC_LS, MIM_LS, MIME_LS",14215,2024 - 2025 Yaz Dönemi
MIM 212,Mimari Proje IV,Ayşe Meltem Baslo,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,MIM_LS,14225,2024 - 2025 Yaz Dönemi
MIM 212,Mimari Proje IV,Özlem Berber Özkendirci,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,MIM_LS,14226,2024 - 2025 Yaz Dönemi
MIM 212E,Architectural Design IV,Pelin Dursun Çebi,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,"ARC_LS, MIM_LS, MIME_LS",14227,2024 - 2025 Yaz Dönemi
MIM 212E,Architectural Design IV,Fatma Erkök,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,"ARC_LS, MIM_LS, MIME_LS",14229,2024 - 2025 Yaz Dönemi
MIM 212E,Architectural Design IV,Derya Güleç Özer,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,"ARC_LS, MIM_LS, MIME_LS",14230,2024 - 2025 Yaz Dönemi
MIM 212E,Architectural Design IV,Sema Alaçam,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,"ARC_LS, MIM_LS, MIME_LS",14231,2024 - 2025 Yaz Dönemi
MIM 212E,Architectural Design IV,Funda Uz,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,"ARC_LS, MIM_LS, MIME_LS",14232,2024 - 2025 Yaz Dönemi
MIM 212E,Architectural Design IV,Göksenin İnalhan,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,"ARC_LS, MIM_LS, MIME_LS",14233,2024 - 2025 Yaz Dönemi
MIM 212E,Architectural Design IV,Hakan Tüzün Şengün,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,"ARC_LS, MIM_LS, MIME_LS",14234,2024 - 2025 Yaz Dönemi
MIM 212E,Architectural Design IV,Arzu İrem Mollaahmetoğlu,Monday / Thursday,13:30/17:29 / 13:30/17:29,MMB / MMB / -- / --,0,3,"ARC_LS, MIM_LS, MIME_LS",14235,2024 - 2025 Yaz Dönemi
