Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
YZV 101E,Intr. to AI & Data Eng& Ethics,Tuğçe Bilen,Wednesday,13:30/15:29,BBB / --,0,5,YZVE_LS,13515,2024 - 2025 Yaz Dönemi
YZV 103E,Intr. to AI & Data Eng& Ethics,Cihan Topal,Wednesday,13:30/15:29,BBB / --,0,65,YZVE_LS,13516,2024 - 2025 Yaz Dönemi
YZV 201E,Data Structures,Gülşen Eryiğit,Tuesday,08:30/12:29,BBB / --,0,70,YZVE_LS,13520,2024 - 2025 Yaz Dönemi
YZV 211E,Intro to Data Science and Eng.,Ahmet Cüneyd Tantuğ,Wednesday,09:30/12:29,BBB / --,0,70,YZVE_LS,13522,2024 - 2025 Yaz Dönemi
YZV 302E,Deep Learning,Behçet Uğur Töreyin,Monday,14:30/17:29,BBB / --,0,5,YZVE_LS,13527,2024 - 2025 Yaz Dönemi
YZV 303E,Deep Learning,Faik Boray Tek,Monday,14:30/17:29,BBB / --,0,55,YZVE_LS,13528,2024 - 2025 Yaz Dönemi
YZV 311E,Data Mining,Tuğçe Bilen,Tuesday,13:30/16:29,BBB / --,0,5,YZVE_LS,13533,2024 - 2025 Yaz Dönemi
YZV 312E,Data Mining,Şule Öğüdücü,Tuesday,13:30/16:29,BBB / --,0,60,YZVE_LS,13535,2024 - 2025 Yaz Dönemi
YZV 401E,Legal Aspects of AI&Data Eng.,Çiçek Ersoy Kekevi,Friday,14:30/16:29,BBB / --,0,80,YZVE_LS,13553,2024 - 2025 Yaz Dönemi
YZV 406E,Robotics,Sanem Sarıel Uzer,Wednesday,09:30/12:29,BBB / --,0,60,BLGE_LS,13557,2024 - 2025 Yaz Dönemi
YZV 411E,Big Data Analytics,Cihan Topal,Thursday,14:30/17:29,BBB / --,0,50,YZVE_LS,13554,2024 - 2025 Yaz Dönemi
YZV 413E,Graph Theory and Algorithms,Berna Kiraz,Tuesday,09:30/12:29,BBB / --,0,25,YZVE_LS,13560,2024 - 2025 Yaz Dönemi
YZV 445E,Artificial Intelligence Project,Gözde Ünal,Monday,09:30/12:29,BBB / --,0,20,YZVE_LS,13561,2024 - 2025 Yaz Dönemi
YZV 447E,Cognitive Neuroscience,Didem Gökçay,Tuesday / Friday,15:30/17:29 / 17:00/18:59,BBB / BBB / -- / --,0,20,"BLGE_LS, YZVE_LS",13558,2024 - 2025 Yaz Dönemi
YZV 448E,Machine Learning System Development and Operations (MLOps),Mehmet Tunçel,Monday,13:30/16:29,BBB / --,0,20,YZVE_LS,14386,2024 - 2025 Yaz Dönemi
YZV 475E,Data Visualization,Sefer Baday,Wednesday,12:30/15:29,BBB / --,0,30,"BLGE_LS, YZVE_LS",13559,2024 - 2025 Yaz Dönemi
YZV 4901E,AI &Data Engineering Design I,Faik Boray Tek,-,-/-,- / -,0,40,YZVE_LS,13555,2024 - 2025 Yaz Dönemi
YZV 4902E,AI& Data Engineering Design II,Tuğçe Bilen,-,-/-,- / -,0,40,YZVE_LS,13556,2024 - 2025 Yaz Dönemi
